name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,country,longBusinessDescription,companyStatus,linkedin
ArtCentrica,https://www.eu-startups.com/directory/artcentrica/,Italy,"ArtCentrica innovates the teaching, learning and appreciation of Art.
With ArtCentrica EDU, a cloud application with more than 8,000 works of art, from 22 global museums (Uffizi Galleries, Brera, MET,...) with images up to 10 GigaPixels for each work, we want to revolutionize the way art is taught, learned and appreciated, and how we can innovate the learning of other disciplines through art.",Florence,"E-learning, Software, Art",Between €100K-€500K,2022,https://www.artcentrica.com,IT,,Active,https://www.linkedin.com/company/artcentrica/
DGtalguide,https://www.eu-startups.com/directory/dgtalguide/,Italy,"DGtalguide is a SaaS platform that empowers tour operators to create, sell, manage, and guide fully app-guided mobile tours—all in one place. It is the only platform on the market that combines everything a tour operator needs: tour creation, bookings, sales, partner integrations, and complete digital tour guidance—from navigation to real-time schedule coordination. Travelers explore independently while enjoying fully organized local experiences and immersive storytelling.",Sona,"SaaS, Technology, Information, Internet",Between €100K-€500K,2022,https://dgtalguide.com/,IT,,Active,https://www.linkedin.com/company/dgtalguide/
The Parks Brand,https://www.eu-startups.com/directory/the-parks-brand/,Italy,"National Park posters, wall art, and home decor inspired by all 63 U.S. National Parks.",Milan,"DTC Brand, Home Decor",Between €1-€100K,2022,https://theparksbrand.co,IT,"The Parks Brand creates premium wall art and posters inspired by all 63 U.S. National Parks. Our collection of vintage-style National Park posters is printed on museum-quality paper, perfect for decorating your home, office, or studio. Designed for nature lovers, travelers, and outdoor enthusiasts, our posters bring the beauty of America's wild landscapes indoors. Explore our wide selection of National Park wall art and discover timeless designs that celebrate the spirit of adventure. All posters are proudly designed and printed in the USA.",Active,
LITLYX,https://www.eu-startups.com/directory/litlyx/,Italy,"Litlyx is a website analytics tool designed for small and medium-sized businesses made and hosted in Europe.
We use cookie-less technology, which means we are compliant with privacy regulations across all jurisdictions (especially GDPR in Europe).
On top of that, we offer an AI-powered dashboard that gives our users the experience of having a personal data analyst by their side... capable of explaining insights just like an expert would.",Rome,"analytics, websites, AI, Data analysis,",No funding announced yet,2024,https://litlyx.com,IT,,Active,https://www.linkedin.com/company/litlyx
IoTag,https://www.eu-startups.com/directory/iotag/,Italy,"IoTag connects physical products - like bikes, luggage and gear - to smart services like tracking, digital ownership and dynamic insurance. We protect what matters and unlock new value through seamless, embedded technology.",Brescia,"IoT, Smart Tracking, Insurtech, Connected Products",No funding announced yet,2025,https://iotag.co/,IT,"IoTag transforms everyday physical productss - uch as bikes, luggage, sports gear and more - into connected platforms through a combination of smart hardware and mobile services. Our solution includes Bluetooth-based tracking (natively integrated with Apple and Google networks), certified digital ownership, and on-demand services like usage-based insurance, real-time assistance, and geofencing alerts.
We’re building an open, modular infrastructure that enables brands, insurers, and mobility operators to offer embedded protection and value-added services throughout the entire product lifecycle. Whether you're a cyclist, traveler or outdoor enthusiast, IoTag protects what matters and turns your product into a smart, service-enabled asset.",Idea Stage,https://www.linkedin.com/company/iotag-platform/
Capital AI srl,https://www.eu-startups.com/directory/capital-ai-srl/,Italy,"Capital AI is a technology company driving innovation in both the startup and public funding area and AI-powered consumer communication. Our flagship B2B product, Incentivato, helps startups and small businesses in Italy discover and apply for government grants tailored to their growth objectives, using automated profiling and smart recommendations. On the consumer side, All* is a next-generation messaging app that enables fast, private, and voice-friendly communication with AI-enhanced features for everyday productivity and expression.",Milano,"AI automation, public funding, grant discovery, voice messaging",No funding announced yet,2025,capital-ai.eu,IT,,,
Lara Translate,https://www.eu-startups.com/directory/lara-translate/,Italy,The world’s most reliable translator,"Rome, Italy","Individuals, Teams, Enterprise",No funding announced yet,2025,https://laratranslate.com/,IT,"Lara is better than machine translation, close to the best professional translators. Lara is the best translation technology ever created. In a double-blind evaluation, professional translators consistently preferred Lara over leading machine translation systems. The test set comprised user-generated content (chats, reviews, product descriptions) in the ten most requested localization languages.",Active,https://www.linkedin.com/company/lara-translate
BCA Group,https://www.eu-startups.com/directory/bca-group/,Italy,"BCA Group operates at the intersection of AI and Web3 through a dual-entity structure combining profitable agency services with an innovative token-gated analytics platform.
Our Hong Kong entity (Blockchain Army) delivers full-spectrum marketing and technology services to leading Web3 projects, generating $680k annual revenue with clients like Banana Gun (scaled from $4k to $30k monthly contracts). We've pioneered proprietary AI algorithms for consistent character generation in video content, creating marketing assets that competitors cannot replicate.
Our UK entity manages the $ARMY token ecosystem, powering real-time crypto analytics tools and creating genuine utility through token-gated platform access. Unlike speculative token projects, our ecosystem is backed by actual revenue streams and active user engagement.
Key Highlights:

5+ years profitable operations, completely bootstrapped
$680k annual revenue run rate with expanding margins
Proprietary AI technology for Web3 marketing
Token-gated SaaS platform with real utility
Dual growth engine: agency profits + token ecosystem

Seeking: $1-3M for scaling operations, team expansion, and platform development
Sectors: AI/ML, Blockchain/Web3, SaaS, Marketing Technology
Stage: Growth/Series A
Founded: 2019 | HQ: Hong Kong/UK | Revenue: $680k ARR",Milano,"AI, Web3, Marketing, Agency",No funding announced yet,2022,bca.group,IT,,Active,https://www.linkedin.com/company/the-blockchain-army/
BCA Group,https://www.eu-startups.com/directory/bca-group/,Italy,"BCA Group operates at the intersection of AI and Web3 through a dual-entity structure combining profitable agency services with an innovative token-gated analytics platform.
Our Hong Kong entity (Blockchain Army) delivers full-spectrum marketing and technology services to leading Web3 projects, generating $680k annual revenue with clients like Banana Gun (scaled from $4k to $30k monthly contracts). We've pioneered proprietary AI algorithms for consistent character generation in video content, creating marketing assets that competitors cannot replicate.
Our UK entity manages the $ARMY token ecosystem, powering real-time crypto analytics tools and creating genuine utility through token-gated platform access. Unlike speculative token projects, our ecosystem is backed by actual revenue streams and active user engagement.
Key Highlights:

5+ years profitable operations, completely bootstrapped
$680k annual revenue run rate with expanding margins
Proprietary AI technology for Web3 marketing
Token-gated SaaS platform with real utility
Dual growth engine: agency profits + token ecosystem

Seeking: $1-3M for scaling operations, team expansion, and platform development
Sectors: AI/ML, Blockchain/Web3, SaaS, Marketing Technology
Stage: Growth/Series A
Founded: 2019 | HQ: Hong Kong/UK | Revenue: $680k ARR",Milano,"AI, Web3, Marketing, Agency",No funding announced yet,2022,bca.group,IT,,Active,https://www.linkedin.com/company/the-blockchain-army/
Reconstruct,https://www.eu-startups.com/directory/reconstruct/,Italy,Platform offering digital tools for optimal everyday performance. Take your first step towards mental health wellness.,Corniglia,"Productivity, wellenss, mental fitness",No funding announced yet,2025,https://reconstructyourmind.com,IT,Platform offering digital tools for optimal everyday performance. Take your first step towards mental health wellness.,Active,https://www.linkedin.com/company/reconstruct-now/
Renovo,https://www.eu-startups.com/directory/renovo/,Italy,"Renovo S.r.l. is transforming the recycling of photovoltaic panels with 
innovative robotic processes.",Milano,"Recycling, Automation, Robotic",Between €1-€100K,2025,https://www.renovo-recycling.it/,IT,"Renovo S.r.l. is transforming the recycling of photovoltaic panels with
innovative automated robotic processes. We focus on introducing advanced
recycling solutions that enhance material recovery and reintegrate them into
new production cycles. So far, we have developed and implemented cutting
edge filtration and processing technologies to optimize resource efficiency,
reduce waste, and improve the circularity of our operations.
 We have successfully laid the foundation for a scalable and efficient recycling
system that aligns with our commitment to sustainability. Our focus has been
on creating a system that maximizes resource recovery while minimizing
environmental impact.
 With our current project, we plan to achieve a fully automated,
environmentally responsible recycling solution that can be widely adopted
across the industry. Our goal is to establish a new standard in end-of-life
photovoltaic panel management, supporting the growth of a more
sustainable energy sector while addressing the challenges of waste disposal
and material scarcity in the photovoltaic industry.",Idea Stage,https://www.linkedin.com/feed/
ScootOver,https://www.eu-startups.com/directory/scootover/,Italy,"A groundbreaking market place that brings companies and recruiters together through competitive bidding, curated candidate listings, and efficient hiring processes. Using AI, data-driven insights and blockchain our platform streamlines the recruitment process, delivering precise matches and faster results.",Dublin,"Recruitment Marketplace, Real-Time Collaboration Tools, Beta Access with Premium Features, VIP Community Engagement",Between €100K-€500K,2025,https://www.scootover.io/,IT,,Active,
HuKnow | Human Knowledge online now,https://www.eu-startups.com/directory/huknow-human-knowledge-online-now/,Italy,"""Immediately solve any problem by finding and meeting the expert you need. 
 Skills' Amazon: doctors, lawyers, yoga, cooking, school tutoring, trainers, coaches, psychologists...
 All in one place, immediately."" Solve any problem by meeting the expert you need, Immediately. Write what you need and view the Experts ready to receive you on your topic: choose and immediately meet lawyers, doctors, psychologists, coaches, trainers, teachers both for school tutoring and to learn yoga, photography, music, cooking... For Experts, presence and visibility are free: HUKNOW retains 15% for service costs only when provided (256-bit encrypted video chat, e-commerce management, transaction management, search engine, matching, invoicing, etc.). Transactions are handled by Stripe (1.4% of the transaction + 25 cents), there are no other costs.Solve any problem by meeting the expert you need, Immediately. Write what you need and view the Experts ready to receive you on your topic: choose and immediately meet lawyers, doctors, psychologists, coaches, trainers, teachers both for school tutoring and to learn yoga, photography, music, cooking... For Experts, presence and visibility are free: HUKNOW retains 15% for service costs only when provided (256-bit encrypted video chat, e-commerce management, transaction management, search engine, matching, invoicing, etc.). Transactions are handled by Stripe (1.4% of the transaction + 25 cents), there are no other costs.",Milan,"Instant Expert Consultations, Knowledge Sharing Economy, AI-Powered Expert Matching",Between €500K-€ 1 million,2017,https://www.huknow.com/,IT,,Active,https://www.linkedin.com/company/huknow/
Eloisa Technologies,https://www.eu-startups.com/directory/eloisa-technologies/,Italy,"Poverty defeated. Welcome to the future, where poverty is a thing of the past. Digital Basic Income service by Eloisa Technologies is the solution for a fairer world, providing real-time financial support and career help through engaging conversations between humans and intelligent machines. No government red tape, no charity nonsense.",Reggio di Calabria,"Digital Basic Income (DBI), Conversational AI, Smart City Assistant, Democracy Tech",Between €100K-€500K,2018,http://eloisatechnologies.com/,IT,,Active,https://www.linkedin.com/company/eloisatechnologies/
LF EduTech,https://www.eu-startups.com/directory/lf-edutech/,Italy,"LF EduTech Learning Solutions is a revolutionary model of Education system support to 5 to 18 years students for getting a world class education system through the skill profile education and certification. where we redefine the future of education. Our mission is to provide world-class education, nurturing children to become confident, responsible, and forward-thinking individuals. We believe in fostering a global community of compassionate and inspired citizens",Roma,"Global Virtual Learning, British Curriculum Online School, Character and Leadership Development",Between €500K-€ 1 million,2018,https://lfonlineschool.com/,IT,,Active,
Sentric,https://www.eu-startups.com/directory/sentric/,Italy,"""Sentric is a software solution that helps online retailers streamline their product listing process providing validated and ready to use data sheets.
 Sentric generates revenue through a SaaS model, charging retailers an annual subscription fee or a pay per use based on the number of products managed via Sentric. Average spending per customer is currently €500/month""",Reggiolo,"Product Data Automation, E-commerce Integration, Barcode Scanning App",Between €500K-€ 1 million,2019,https://www.sentric.it/en,IT,,Active,https://www.linkedin.com/company/sentric-it/
WeShort,https://www.eu-startups.com/directory/weshort/,Italy,"AI powered Platform as a service streaming short films large scaling distribution worldwide with a B2B model. In Short We Trust - WeShort is the ultimate On-Demand Entertainment platform redefining how the world experiences short films. Featuring a curated selection of award-winning and emerging international shorts across every genre, WeShort delivers cinematic excellence in bite-sized stories.",Bari,"Short Film Streaming Platform, On-Demand Entertainment, Award-Winning Shorts",Between €500K-€ 1 million,2020,https://weshort.com/home,IT,,Active,https://www.linkedin.com/company/weshort-srl
THE HOUSE FARMER,https://www.eu-startups.com/directory/the-house-farmer/,Italy,"""JOCONDO is a SMART GARDEN for urban gardens (but can also be used for plants), specifically focused on metropolitan terraces and balconies with the following innovative features:
 - DESIGN: a colored, washable and replaceable non-woven outer sock, even if only for aesthetic reasons
 - WATER AUTONOMY: a 32 litres reservoir allows the user to be away for at least three weeks if growing vegetables and even longer for herbs, without risking the usual summer slaughter of plants or crops left to 'bake' in the sun with insufficient water
 - MOBILITY: thanks to its 4 wheels, which are also very functional and aesthetic, Jocondo can be moved for cleaning, to protect it from extreme weather events (water and sun) and to bring it inside during the cold months, as it is also an element of furniture and design, facilitated by its standard non-excessive size of 40x60cm
 - TECHNOLOGY: This is one of the first, or perhaps the first, active irrigation system for balconies/terraces thanks to the presence inside (between the external sock and the tank) of a pump, an electronic board and a battery. The system will initially be equipped with 4 sensors: soil moisture, room temperature, air quality and water level in the tank. In the future, we will also include the soil acidity sensor. Everything is easily controlled by the user through an APP that will also give advice on which crops to grow depending on their latitude
 - MODULARITY: Jocondo is the first modular pot (Lego garden) with the possibility of associating a module vertically (40x120cm) or horizontally (60x80cm) with the exact same characteristics, taking advantage of the standard pot. The additional piece will consequently be much cheaper than the mother pot, including all technological equipment""",Rome,"Smart Garden Technology, Sustainable Urban Gardening, Community Gardening Network, Community Gardening Network",Between €500K-€ 1 million,2021,https://JOCONDO.IO,IT,,Active,https://www.linkedin.com/showcase/jocondo/
Myndoor,https://www.eu-startups.com/directory/myndoor/,Italy,"Myndoor leverages AI-driven semantic analysis to monitor stress levels in workplace communications, providing real-time insights without the need for wearables. Our technology integrates seamlessly into tools like Microsoft Teams and Slack, offering alerts, personalized exercises, and aggregated reports for HR. We operate on a B2B SaaS model, generating revenue through enterprise subscriptions and API integrations. Our patented approach ensures scalable, science-backed solutions for stress prevention and well-being.",Rosate,"AI-Powered Stress Detection, Employee Well-being Platform, Seamless Integration Tools",Between €500K-€ 1 million,2021,https://www.myndoor.it/,IT,,Active,https://www.linkedin.com/company/myndoor/
Sea the Change,https://www.eu-startups.com/directory/sea-the-change/,Italy,"StC is a social impact startup linking ocean conservation with corporate sustainability. We deliver high-impact ESG solutions across Decarbonization, Biodiversity, and Pollution, empowering businesses to achieve sustainability goals while supporting local communities. Our approach combines nature-based solutions with cutting-edge clean-tech.",Venice,"Marine Ecosystem Protection, Corporate Sustainability Solutions, Blue Economy Engagement, Impact Reporting and Communication",Between €100K-€500K,2022,https://seathechange.eu/en/,IT,,Active,https://www.linkedin.com/company/seathechange/
ISUAL,https://www.eu-startups.com/directory/isual/,Italy,"""Isual®️ is the Social Media Management Solution for Business Networks.
 With Isual®️, a brand can automatically and directly distribute digital content to its partners' channels with just one click.
 It creates a WIN-WIN process for both brands and partners.
 
 B2B SaaS Model:
 A Software As A Service platform aimed at companies and/or organizations (BRAND), with a pricing model based on annual subscriptions and the number of users designated by the Brand (seats/PARTNERS).
 
 Annual Recurring Revenue (ARR):
 We generate recurring revenue through renewals, expansion of the number of users (Partners), upselling services, and cross-selling.
 
 Technology: AI, API,""",Ferrara,"B2B Content Distribution, Social Media Management, Retail Marketing Automation",Between €100K-€500K,2022,https://www.isual.it/,IT,,Active,https://www.linkedin.com/company/isual-it/
Finanz,https://www.eu-startups.com/directory/finanz/,Italy,"""Our business model is a highly diversified and scalable freemium approach: the app is free to download and access, but it also offers a premium subscription that unlocks additional features. 
 
 In the Investments section, we will apply small fees on managed assets and transactions. 
 
 For the Cashback section, we retain a percentage of users' purchases.""",Milan,"Financial Education App, Personal Finance Management, Gamified Learning Experience, AI-Powered Personalized Learning",Between €500K-€ 1 million,2022,https://finanzapp.io/,IT,,Active,https://www.linkedin.com/company/finanz-app/
Discentis,https://www.eu-startups.com/directory/discentis/,Italy,"Discentis is a startup dedicated to delivering cutting-edge services for K-12 teachers. Our business model combines a hybrid B2B and B2G approach, collaborating with schools, educational institutions, and government entities to provide tailored solutions that elevate teaching effectiveness. Complementing this, we operate a B2C membership club for individual educators using a freemium model, cultivating a dynamic community where members gain access to exclusive resources, events, and continuous professional development opportunities.",Turin,"Innovazione Didattica, Formazione Docenti, Comunità di Pratica",Between €500K-€ 1 million,2022,https://discentis.it/,IT,,Active,https://www.linkedin.com/company/discentis/
Zephorum,https://www.eu-startups.com/directory/zephorum/,Italy,Zephorum is a death tech startup focused on helping individuals to plan and manage their end-of-life decisions. We solve the challenges of digital legacy and the management of online information after death for individuals and families.,Cagliari,"Digital Legacy Management, AI-Powered Biopic Creation, Secure Account Recovery",Between €500K-€ 1 million,2022,https://webetery.zephorum.com/home,IT,,,https://www.linkedin.com/company/zephorum/?originalSubdomain=it
Niverbec,https://www.eu-startups.com/directory/niverbec/,Italy,"""Niverbec is a MedTech startup pioneering digital emergency healthcare through its innovative project, Niver. Our technology allows first responders to access, strictly limited to authorized rescuers, vital medical data in seconds—overcoming language barriers and unconscious patient conditions.
 Niver is not a digital health record but a first-emergency data readout, providing emergency responders with critical medical information such as medical conditions, pathologies, allergies, medications, patient identification, and the referring care physician who recorded the data—an Emergency Sheet designed to enhance rapid medical intervention.
 Unlike traditional health data systems, often paper-based, Niver operates on passive, energy-efficient memory storage, ensuring privacy and securitywithout centralized servers that consume excessive energy. Our B2B2C model collaborates with doctors and emergency professionals to certify data, making it a reliable, life-saving solution for travelers, elderly individuals, and those with chronic conditions.
 By bridging the gap between emergency response and digital health accessibility, Niver is reshaping the future of emergency healthcare.""",Piacenza,"Emergency Health Data Access, Inclusive Healthcare Technology, AI-Driven Emergency Support",Between €100K-€500K,2022,https://www.niverbec.com/,IT,,Active,https://www.linkedin.com/company/niverbec/
Smarchef,https://www.eu-startups.com/directory/smarchef/,Italy,"Smarchef is the platform that bridges the world of content with our weekly grocery shopping needs, transforming recipes into actionable data for consumers, content creators and publishers, food producers and retailers. Get inspired by the recipes of your favorite chefs and do a tasty and anti-waste shopping.",Cervia,"Smart Kitchen Appliances, Connected Cooking Devices, Innovative Culinary Technology, User-Friendly Cooking Interfaces",Between €100K-€500K,2022,https://www.smarchef.com/,IT,,Active,https://www.linkedin.com/company/smarchef/
lit,https://www.eu-startups.com/directory/lit/,Italy,"lit offers plug-and-play hardware and AI-driven solutions designed for real-time energy monitoring and management. Our technology empowers users to optimize energy consumption by identifying inefficiencies, reducing costs, and improving overall efficiency. For businesses, lit provides a seamless platform to generate actionable, ESG-compliant data for sustainability reporting. This innovative approach not only enhances energy transparency but also supports the transition to a more sustainable future.",Rome,"Smart Energy Monitoring, Plug & Play Installation, CO₂ Emission Tracking",Between €100K-€500K,2022,https://www.itslitbox.com/,IT,,Active,https://www.linkedin.com/company/litstartup/
ResilientX Security,https://www.eu-startups.com/directory/resilientx-security/,Italy,"""Supply chain cyber attacks are rising, with SMBs as the weakest link due to limited security budgets. Yet, enterprises still rely on slow, error-prone, and costly manual assessments, spreadsheets, and questionnaires to manage third-party risk. With NIS2, 160,000 European enterprises must now prove robust risk management or face severe penalties, but many are unprepared.
 ResilientX automates Third-Party Risk Management, reducing assessment time by 80% and cutting compliance costs in half. Our platform streamlines vendor evaluations, automates compliance workflows, and provides real-time risk insights, ensuring companies stay secure and compliant at scale. 
 We operate on a license model, with pricing based on the number of vendors assessed. Initially scaling through channel partnerships with resellers and MSPs, we are now driving direct sales through targeted cold outreach and enterprise engagement. In our first year, we generated €150K in revenue and secured investment from top European VCs and the Italian government. Backed by a leadership team with 40+ years in cybersecurity, tech, and VC, including a successful exit in the industry, we’re on track for 3x revenue growth and reaching break-even by mid-year.""",London,"Unified Exposure Management, Third-Party Risk Management, Automated Security Testing",Between €500K-€ 1 million,2022,https://www.resilientx.com/,IT,,Active,https://www.linkedin.com/company/resilientx/
OneGrab,https://www.eu-startups.com/directory/onegrab/,Italy,"""OneGrab’s mission is to change the way passengers eat throughout their journeys, by adapting the trends that have shaped the F&B industry downtown (food delivery, cloud kitchens) to the complexities of the travel industry (air and rail).
 We do this by deploying small cloud kitchens airside (or in train stations), so passengers can order last-minute meals online and receive them onboard: meals that are local, fresh, and made-to-order.
 This offers passengers a wider food offer and the customer experience they enjoy at home/office, while increasing ancillary revenues for our partners (airlines/train companies), reducing aircraft weight and fuel consumption and eradicating waste.""",Milan,"Travel Food Delivery, Cloud Kitchen Integration, Digital Pre-Ordering Platform",Between €100K-€500K,2022,https://onegrab.it/,IT,,Active,https://www.linkedin.com/company/onegrab/
Aicha,https://www.eu-startups.com/directory/aicha/,Italy,"Aïcha's commitment to quality is evident in its integrated operations, encompassing agriculture, canning, oil production, and refining. The brand exports to over 15 countries, including France, Belgium, and nations in Sub-Saharan Africa.",Meknes,"Moroccan Food Brand, Jams and Tomato Sauces, Iconic Brand Mascot",Between €100K-€500K,2022,https://aicha.com/,IT,,Active,
Gau,https://www.eu-startups.com/directory/gau/,Italy,"we want to save the real estate sector by automatically generating documents and pre-construction analyzes thanks to AI and ML models. Technical and urban planning analysis
We give a rating to the property based on its technical, structural and urban planning conditionsWith Edifeasy you can keep your budget under control and decide how and when to get paid.",Ragusa,"AI-Powered Home Renovation, End-to-End Remodeling Services, User-Friendly Registration",Between €100K-€500K,2022,https://www.gauapp.it/,IT,,Active,
MorseVerse,https://www.eu-startups.com/directory/morseverse/,Italy,"We bring the in-person shopping experience and engagement to businesses’ online sales through AI-managed virtual stores. MorseVerse lets fashion businesses show their users how outfits fit them while recommending perfect pairings and alternatives that they can see on themselves instantly.
Discover the future of fashion by booking a demo with us and see how we can help your business!",Turin,"AI-Powered Virtual Try-On, Personalized Fashion Recommendations, Post-Purchase Engagement Tools",Between €100K-€500K,2023,https://www.morseverse.com/home,IT,,Active,https://www.linkedin.com/company/morseverse/
