name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country,longBusinessDescription
Memtime GmbH,https://www.eu-startups.com/directory/memtime-gmbh/,Germany,Memtime is an automatic time tracking software that records digital activity in a private timeline - helping users log hours accurately without manual effort. Its ability to integrate with 100+ tools and keep all data private combined with the ease of usage makes it ideal for professionals who want to boost productivity and eliminate time leaks.,"Munich, Germany","automatic time tracking, billable hours tracking, offline time tracker",Between €1 million-€ 2.5 million,2015,https://www.memtime.com/,Active,https://www.linkedin.com/company/memtime-gmbh/posts/?feedView=all,DE,"Memtime is a German software company specializing in automatic time tracking solutions for professionals and teams. Its product, also called Memtime, helps users effortlessly capture their work activity and accurately allocate time to clients and projects, without any manual time entry. This software runs in the background, recording every digital action in a visual timeline called the ‘Memory Aid™️’, ensuring nothing gets lost, even during multitasking. Memtime is committed to data privacy, with all activity data stored locally on the user’s device. The platform supports integration with leading project management tools (100+ integrations), helping teams eliminate time leaks, improve billing accuracy, and make smarter decisions based on real data.
Memtime serves consultants, agencies, developers, and knowledge workers across Europe and beyond, offering versions for Windows, Mac, and Linux. Free trial is offered to present how users can increase productivity - without changing how they work."
Monee,https://www.eu-startups.com/directory/monee/,Germany,Budget & Expense Tracker,Buxtehude,"Personal Finance, Productivity, Finance, Budget",No funding announced yet,2022,https://monee-app.com/,Active,https://www.linkedin.com/in/stephan-lerner-301ba091,DE,"Monee is a simple yet powerful app that helps you track and manage your personal and group finances effortlessly. Just enter the amount, choose a category, and optionally add a note - that’s it. Monee presents your income and expenses in a clear, organized way, helping you understand where your money goes each month. No registration, no ads, and no tracking required.
Key Features
- Quick Entry: Add expenses and income by simply entering the amount, selecting a category, and optionally adding a note.
- Multiple Accounts: Create unlimited accounts for families, shared flats, or groups and invite others to collaborate.
- Recurring Transactions: Easily track repeating income and expenses to avoid re-entering the same data.
- Custom Categories: Organize your finances using categories you define.
- Detailed Filters & Analysis: Filter by type, frequency, participants, and more for deeper insight.
- Seamless Across Devices: Use Monee on your iPhone, iPad, and Mac — with your data synced smoothly across all devices.
- Worldwide Currencies: Manage finances in any currency around the globe.
- Export & Backup: Export your financial data whenever needed.
Benefits
- Streamlined Experience: No registration, no ads, and no tracking make Monee distraction-free and easy to use.
- Collaborative Budgeting: Perfect for couples, roommates, or teams managing shared budgets together.
- Always Free: Enjoy all features without subscriptions or hidden costs.
- Secure Access: Use Face ID, Touch ID, or a code to protect access to your data.
- Highly Customizable: Countless options for individualization let you tailor the app to your personal finance needs."
Fybu,https://www.eu-startups.com/directory/fybu/,Germany,fybu automates 95% of your accounting - from invoice and transaction matching to handing over your e-commerce accounting to your tax advisor.,Berlin,"Accounting, Tax, Fybu, E-commerce, Tax advisor",No funding announced yet,2016,https://fybu.de/,Active,https://www.linkedin.com/company/fybu/posts/?feedView=all,DE,"FYBU is a next-generation accounting automation platform built specifically for e-commerce businesses, their in-house teams, and tax advisors. With a mission to eliminate the burden of manual bookkeeping, FYBU automates up to 95% of accounting processes — from invoice and payment reconciliation to transaction categorization and seamless handover of financial data to your Steuerberater (tax advisor).
E-commerce founders, managers, and online retailers handle thousands of transactions across marketplaces, payment providers, and banks every month. FYBU integrates effortlessly with all major e-commerce platforms, payment gateways, and accounting tools to streamline every step of the financial workflow. Its smart matching algorithms automatically reconcile invoices with bank transactions, detect duplicates or missing entries, and ensure tax-compliant documentation — all with minimal manual effort.
FYBU simplifies traditionally complex accounting tasks and delivers clear, structured outputs that tax advisors can work with directly. This leads to faster, smoother collaboration between Steuerberaters and e-commerce teams — saving time, reducing errors, and ensuring full compliance with German tax regulations."
GetDot.Ai,https://www.eu-startups.com/directory/getdotai/,Germany,"Dot is an AI Data Analysis Agent that lives in Slack or Microsoft Teams and plugs into data warehouses (Snowflake, BigQuery, Redshift, Postgres, etc.) so business users can ask questions in natural language and get instant, accurate answers.",Heidelberg,"AI, Agent, Analytics, Data",No funding announced yet,2021,https://getdot.ai,Active,,DE,
Careertrainer.ai,https://www.eu-startups.com/directory/careertrainerai/,Germany,"AI-powered leadership training platform with realistic role-playing scenarios. Practice difficult conversations, get instant feedback, and develop communication skills through immersive AI dialogues. Perfect for managers and HR teams.",Augsburg,"Leadership, AI-Roleplay, Leadership Development",No funding announced yet,2025,https://careertrainer.ai,Active,https://www.linkedin.com/company/careertrainer-ai/,DE,"CareerTrainer.ai transforms leadership development through cutting-edge AI technology that creates realistic, immersive training experiences for managers and executives. Our platform addresses the critical challenge every leader faces: mastering the difficult conversations that determine leadership success.
Traditional leadership training often falls short because it lacks real-world application and immediate feedback. CareerTrainer.ai solves this by providing AI-powered role-playing scenarios where leaders can practice challenging workplace situations in a completely safe, private environment. Our intelligent AI characters simulate real employee personalities, emotions, and reactions, creating authentic learning experiences that translate directly to workplace success.
The platform covers comprehensive leadership scenarios including performance reviews, conflict resolution, feedback delivery, annual evaluations, motivation conversations, and crisis management. Each AI character is uniquely designed with distinct personalities and communication styles, ensuring leaders experience the full spectrum of workplace interactions they'll encounter.
What sets CareerTrainer.ai apart is our real-time analysis and feedback system. After each conversation, leaders receive detailed insights into their communication effectiveness, emotional intelligence application, and areas for improvement. The platform tracks progress over time, helping users identify patterns and measure their leadership development journey.
Flexibility is core to our design. Leaders can access training anytime, anywhere, fitting seamlessly into demanding schedules. There's no need for scheduling trainers or dealing with the pressure of performing in front of others. This privacy allows for genuine learning and experimentation with different approaches.
For organizations, CareerTrainer.ai offers enterprise solutions including team analytics, custom scenario development, and integration with existing HR systems. Companies can upload their specific leadership guidelines, ensuring training aligns with organizational standards. Our comprehensive reporting provides HR departments with measurable insights into leadership development progress across teams.
The platform serves individual leaders seeking personal growth, companies wanting scalable training solutions, and HR departments aiming to standardize leadership communication. Whether you're a new manager or experienced executive, CareerTrainer.ai provides the tools needed to excel in challenging leadership situations.
Built with privacy and security as priorities, our GDPR-compliant platform ensures all training remains confidential. Leaders can practice sensitive scenarios without concern about data exposure or professional reputation.
CareerTrainer.ai represents the future of leadership development, combining digital accessibility with personalized coaching and realistic human interaction, all powered by advanced AI technology."
Fifth Axis,https://www.eu-startups.com/directory/fifth-axis/,Germany,"We partner with startups to provide meaningful, actionable market analysis and business plan services, powered by AI and enhanced with human insight.",Munich,"AI, Business, Insights, Services",Between €1-€100K,2025,http://www.fifth-axis.eu,Active,https://www.linkedin.com/company/fifth-axis,DE,"Fifth Axis is an AI-powered consulting partner for EU-based startups, solopreneurs, and small businesses seeking expert strategy support. The Munich-based firm delivers investor-ready business plans, deep market analysis, and tailored go-to-market strategies by blending advanced AI insights with seasoned human expertise. This approach offers Big-Four-quality guidance at a fraction of the cost charged by traditional consulting firms, making top-tier strategy advice accessible to early-stage founders. The result is actionable, affordable plans that impress investors and drive growth, empowering entrepreneurs to scale with confidence."
FAVZ,https://www.eu-startups.com/directory/favz/,Germany,Browse our directory of top-rated resources categorized by topic. Promote your website or service by adding it to FAVZ.,Berlin,"Website Promotion, Link Directory, Web Marketing, Directory Submission",Between €1-€100K,2025,https://favz.link/,Active,,DE,
vayada,https://www.eu-startups.com/directory/vayada/,Germany,"vayada is building the infrastructure to connect hotels, travelers, and content creators through transparent, performance-driven affiliate technology. Most boutique hotels are highly dependent on OTAs like Booking.com, losing direct guest relationships and paying high commissions—while creators earn just 4% through outdated in-session affiliate models that track only ~20% of their true influence. Additionally, affiliate tracking is nearly impossible for hotels, making creator campaigns hard to measure and scale.",Germany,"Innovation, Simplicity, Sustainability, Connection",Between €100K-€500K,2025,https://vayada.com/,Active,,DE,
Equera,https://www.eu-startups.com/directory/equera/,Germany,"Equera is a SaaS platform that will radically change the economics of local and community based tourism. It will do this by providing these organizations with the tools they need to develop incredible products and distribute them to a growing global market that already demands what they have to offer. Community based tourism creates products that are authentic, locally led, and drive sustainable development - exactly what today's experience led traveler is looking for.",Germany,"SaaS, Authentic, Locally led, Drive sustainable development",Between €100K-€500K,2025,https://www.equera.tech/,Active,https://www.linkedin.com/in/daniellefinch/,DE,
"SnapIQ AI, Inc.",https://www.eu-startups.com/directory/snapiq-ai-inc/,Germany,"SnapIQ is an AI Agent processing claims for airlines. We streamline the entire process, from intake to payout, combining large language models and rule-based logic to ensure fast, accurate, and regulation-compliant resolutions. Airlines plug SnapIQ into their existing tools, and we charge per claim processed, aligning value with usage.",Berlin,"AI, Technology, Information, Internet",Between €100K-€500K,2024,https://snapiq.ai/,Active,https://www.linkedin.com/company/snapiq-ai/about/,DE,
ReLUGG,https://www.eu-startups.com/directory/relugg/,Germany,"ReLUGG operates a B2B transactional model, partnering with airlines to instantly compensate passengers affected by delayed luggage and provide luggage essentials, all within 30 minutes upon arrival. We charge airlines per passenger served, with no upfront costs or long-term contracts. Our solution integrates seamlessly with airline operations and passenger communications, enabling real-time eligibility checks, service activation, and reporting to minimize airline effort and maximize passenger satisfaction.",Bad Tölz,"Travel Arrangements, Luggage scheduling, Luggage delivery",Between €100K-€500K,2024,https://www.relugg.com/,Active,https://www.linkedin.com/company/relugg/,DE,
Modifly,https://www.eu-startups.com/directory/modifly/,Germany,"Modifly offers a white label front end that tour operators can activate with a simple deeplink, letting them sell Lufthansa Group ancillaries such as seat selection, extra baggage and fixed price upgrades on tickets that have already been issued. 

The cloud platform returns the correct offer for every booking, collects payment and automatically issues the EMDs, all with virtually no partner IT effort and a time to market of only a few weeks.

By filling the ancillary gap in indirect channels, Modifly converts previously untapped demand into high margin sales that reward agents and recapture revenue for the airlines.",Berlin,"Airlines, Aviation, Online",Between €100K-€500K,2023,https://www.modifly.shop/,Active,https://www.linkedin.com/company/modiflyshop/,DE,
Tourist: AI Trip Planner,https://www.eu-startups.com/directory/tourist-ai-trip-planner/,Germany,"Tourist provides AI-powered travel planning solutions for both individual travelers (B2C) and travel companies (B2B/B2B2C). For consumers, we offer personalized trip planning, route optimization, expense tracking, AI audio guides and interactive AI chat-based tour assistance. For businesses, we deliver white-label mobile apps, embeddable AI trip planning modules, and fully integrated chatbot interfaces for websites and booking platforms.",Bursa,"Travel Arrangements, AI, B2B, B2C",Between €100K-€500K,2022,https://www.touristapplication.com,Active,https://www.linkedin.com/company/touristapplication/,DE,
flygge UG,https://www.eu-startups.com/directory/flygge-ug/,Germany,flygge make travel with your campervan or RV as easy as driving with a normal car. We provide the smartest and easiest navigation app for campervan and RV travellers to avoid stress and unconvienence in your campervan vacation. The app is available at google play store and apple store and it is a subscription based model.,Stuttgart,"Software Development, Navigation software for Caravaning, Motorhome digitization, Caravaning Platform",Between €100K-€500K,2022,https://flygge.io/,Active,https://www.linkedin.com/company/flygge-eu/,DE,
Ciceru,https://www.eu-startups.com/directory/ciceru/,Germany,"Ciceru provides interactive, self-guided tours that transform sightseeing into gamified storytelling experiences, available anytime and instantly accessible on users' smartphones. Our technology leverages AI to automatically localize tours in multiple languages, enabling rapid scalability and global reach without extra operational overhead. We collaborate with local creators, museums, archaeological parks, and cities, offering a revenue-sharing model that allows partners to effortlessly monetize their expertise.",Wuerzburg,"Entertainment Providers, AI, Self-guided walking tours",Between €100K-€500K,2021,http://ciceru.com/,Active,https://www.linkedin.com/company/ciceru/,DE,
spotAR,https://www.eu-startups.com/directory/spotar/,Germany,"SpotAR is a web-based Augmented Reality platform that brings culture, tourism, and education to life through immersive experiences—accessible directly in the mobile browser without the need for an app. Our business model combines B2B project work with a scalable SaaS solution, allowing cities, museums, and institutions to manage their own AR tours via an intuitive CMS. We use gamification elements like AR puzzles, interactive avatars, and digital scavenger hunts to spark engagement and playful learning in public spaces.",Lippstadt,"AR, Location Based Marketing, Geofencing, Deals",No funding announced yet,2019,https://www.spotar.de/,Active,https://www.linkedin.com/company/spotar/,DE,
Bukmo,https://www.eu-startups.com/directory/bukmo/,Germany,"The smart booking tool that helps agencies and independent artist manage their gigs professionally.
Streamline your bookings, automate follow-ups, and focus on what matters most - music.",Berlin,"Music, Booking, Live Music, Artist, Agency",No funding announced yet,2025,https://Bukmo.com,Active,https://www.linkedin.com/company/bukmo,DE,"Bukmo is an AI supported booking tool built for independent artists and small agencies, designed to streamline and automate booking workflow, from outreach and routing to contracts and logistics. With smart micro-agents handling repetitive tasks and a clean, intuitive interface, Bukmo helps users spend less time on admin and more time performing. The result? More bookings, less chaos."
SurveyCircle,https://www.eu-startups.com/directory/surveycircle/,Germany,"SurveyCircle is a global community devoted to connecting people with survey participants for free. This is possible through the platform's mutual support system where researchers can promote their studies and support others in return making it ideal for academic research, thesis work, and market research.",Mannheim,"research, survey, survey participants, participants, free survey participants, get participants",No funding announced yet,2015,https://www.surveycircle.com/,Active,https://www.linkedin.com/company/surveycircle/,DE,"With several million survey participants, SurveyCircle is the world’s largest platform devoted to helping students, researchers, and startups find survey participants for free. This unique platform offers a community where everyone can share their surveys and support others in return. SurveyCircle's community-driven approach creates a collaborative environment ideal for academic research, capstone projects, online experiments, and early-stage market research. By joining SurveyCircle, you can be a part of a global research community, increase the reach of your surveys, and gather quality data efficiently."
OnlineLebensaluf,https://www.eu-startups.com/directory/onlinelebensaluf/,Germany,"Onlinelebenslauf.com ist eine benutzerfreundliche Plattform, mit der du schnell und professionell deinen Lebenslauf online erstellen kannst. Wähle aus modernen Vorlagen, passe dein Design individuell an und lade deinen Lebenslauf in wenigen Minuten als PDF herunter – ideal für Bewerbungen in Deutschland und international.",Berlin,"Lebenslauf, ATS-optimierter, CV, Bewerbungsvorlage, Anschreiben verfassen",No funding announced yet,2017,https://www.onlinelebenslauf.com/,Active,,DE,"Onlinelebenslauf.com – Dein Partner für professionelle Lebensläufe
Onlinelebenslauf.com ist eine moderne und intuitive Online-Plattform, mit der du in wenigen Schritten einen ansprechenden und professionellen Lebenslauf erstellen kannst – ganz ohne Designkenntnisse. Unser Ziel ist es, dir den Bewerbungsprozess so einfach und effizient wie möglich zu machen, damit du dich auf das konzentrieren kannst, was wirklich zählt: deinen nächsten Karriereschritt.
Wähle aus einer Vielzahl von eleganten und zeitgemäßen Lebenslauf-Vorlagen, die speziell für den deutschen und internationalen Arbeitsmarkt entwickelt wurden. Unsere Vorlagen sind vollständig anpassbar – du kannst Farben, Schriftarten, Layouts und Inhalte flexibel ändern, um deinen persönlichen Stil und deine beruflichen Erfahrungen optimal zu präsentieren.
Egal ob Berufseinsteiger, Fachkraft, Quereinsteiger oder Führungskraft – mit Onlinelebenslauf.com findest du das passende Design und die passenden Tools, um deinen Lebenslauf hervorzuheben. Alle Lebensläufe lassen sich ganz einfach als PDF exportieren – bereit für deine Bewerbung per E-Mail oder Online-Portal.
Deine Vorteile auf einen Blick:
Benutzerfreundlicher Lebenslauf-Editor
Professionelle Vorlagen nach deutschen Standards
Intelligente Tipps zur Optimierung deines CVs
Export als PDF mit einem Klick
Datenschutz und Sicherheit deiner Daten
Starte jetzt auf Onlinelebenslauf.com und bring deine Karriere auf das nächste Level – schnell, professionell und überzeugend."
DKSR GmbH,https://www.eu-startups.com/directory/dksr-gmbh/,Germany,"DKSR empowers cities and utilities with CIVORA, an open-source data platform that transforms urban data into actionable insights. From sustainability and mobility to energy and governance, our interoperable infrastructure enables scalable digital services across Europe. Backed by Fraunhofer and trusted by 50+ municipalities, DKSR is driving the future of sovereign, data-driven urban transformation.",Berlin,"Govtech, AI, Smart Cities, PaaS",Between €2.5 million-5 million,2021,www.dksr.city,Active,https://www.linkedin.com/in/vonradecki/,DE,"DKSR (Data Competence Center for Cities and Regions) is a Berlin-based GovTech scale-up enabling cities, regions, and utilities to harness the full value of their urban data. With our open-source platform CIVORA, we provide a modular and interoperable infrastructure that transforms fragmented data into actionable intelligence—empowering smarter decisions in areas like mobility, sustainability, energy, and urban governance.
Our vision is a future where public data serves the public good—where every city can become smart, sovereign, and sustainable by design.
Our mission is to enable municipalities to scale their digital capabilities through open standards, shared infrastructure, and strong public value orientation.
Backed by Fraunhofer and other leading institutional investors, DKSR already supports over 50 cities and public utilities across Europe. We combine deep domain expertise with an innovative dual-licensing model:
Free and open-source access to CIVORA for public sector collaboration and innovation
Paid managed services and SaaS features for scalability, security, and enterprise-grade support
DKSR is currently scaling across Europe and North America, driving systemic change in how cities manage, govern, and activate their data. We’re building the backbone for the digital public infrastructure of the 21st century—and we’re looking for visionary partners who want to shape it with us."
Higo Local Meet Global,https://www.eu-startups.com/directory/higo-local-meet-global/,Germany,"Higo is the first travel companion and dating app designed for travelers who want to meet real locals for friendship, cultural exchange, or romance. Unlike traditional dating apps, Higo matches users based on trip timing, destination, and intent—ensuring meaningful connections before they even land.",Munich,"dating, travel, social, lifestyle",No funding announced yet,2025,https://higodating.com,Active,,DE,"Higo: Where Locals & Global Travelers Connect
Higo is a travel buddy app that brings together local girls, guys, and global explorers looking for more than just sightseeing. It’s about real moments, shared laughs, spontaneous meetups, and the kind of friendships (or more?) that make travel unforgettable.
Meet Thai Girls Who Love Meeting New People
From Bangkok to Chiang Mai to the beaches of Phuket—there are amazing Thai locals using Higo who are open to chats, new friendships, cultural exchanges, and even travel buddying. Whether they’re showing you a hidden local café or just chatting about life in Thailand, they make the journey richer.
International Friends Welcome – Feel at Home, Even When You’re Far Away
For foreigners in a new country, it’s easy to feel lost in translation. Higo helps you connect with locals who are excited to meet people from around the world. Ask questions, learn about theirl culture, or just find someone to explore the night market with.
Join Plans, Start Chats, Build Stories
Create your own travel plan or jump into one that sounds fun. Invite people to group chats or start a 1-on-1. It’s casual, open, and designed to help people meet naturally.
Language Isn’t a Barrier—It’s an Invitation
Many users are practicing English or Thai, and open to language exchange. It’s a fun and meaningful way to bond, even if you don’t speak the same language fluently.
Whether you're Thai or a traveler, whether you're here for a week or a year—Higo helps you turn “stranger” into “someone special.”
So next time you find yourself in a new city or craving new connections, remember: you’re never really alone with Higo in your pocket."
Alsona,https://www.eu-startups.com/directory/alsona/,Germany,"Alsona is a lightweight outreach automation platform that helps sales teams, marketers, recruiters, and solopreneurs create personalized, AI-powered campaigns across LinkedIn and email. With 120+ proven templates and support for 50+ languages, it enables users to launch targeted outreach campaigns in under 20 minutes while focusing on starting real conversations rather than just driving clicks.",Berlin,"sales, Artificial Intelligence",No funding announced yet,2025,https://alsona.com,Active,https://linkedin.com/company/alsona,DE,"Alsona is a US-based, remote-first startup founded in 2024 that's revolutionizing outreach automation by making it smarter, more personal, and more effective. Built specifically for early- to scale-stage teams and agencies, the platform offers a lightweight yet highly customizable alternative to complex enterprise tools.
The company was founded by former engineers, product managers, and go-to-market leaders from major sales automation platforms who recognized the limitations of legacy tools and wanted to build something that reflects how people actually want to communicate in 2025 and beyond. Alsona serves sales teams, marketers, recruiters, job seekers, and solopreneurs who need powerful outreach capabilities without unnecessary complexity.
The platform currently supports LinkedIn and email outreach, with WhatsApp, SMS, and Slack functionality in development. What makes Alsona unique is its focus on simplicity without sacrificing power - users can launch their first campaign in under 20 minutes using over 120 proven campaign templates designed for real-world use cases, from finding investors and podcast guests to connecting job seekers with recruiters or building communities.
Built for global use from day one, Alsona supports outreach in over 50 languages, making it ideal for international teams and white-label agency partners serving clients across Europe, Asia, Latin America, and beyond. The platform includes real-time analytics, sentiment tracking, and extensive integrations, giving users the data they need to continuously refine their approach while operating seamlessly within their existing tech stack."
