name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
Universallab GmbH,https://www.eu-startups.com/directory/universallab-gmbh/,Switzerland,"Provider of analytical and testing services and solutions intended to cater to global clientele. The company offers a comprehensive suite of services and solutions encompassing chemical analysis, structural composition evaluation, microscopic characterization, and assessments of physical, mechanical, and functional properties, and its commitment to excellence has earned the trust of hundreds of esteemed clients worldwide, enabling engineers and researchers to get good quality analysis on samples.",,Villigen,"Nanotechnology, Service lab, Business process outsourcing",Between €100K-€500K,2022,universallab.org,Active,https://www.linkedin.com/company/universallab,CH
SEOJuice,https://www.eu-startups.com/directory/seojuice/,Switzerland,"AI-powered platform that automates internal linking, on-page SEO & Accessibility compliance, saving you 100+ hours a month.","SEOJuice is a self-serve SaaS that drops a lightweight JavaScript snippet (or WordPress plugin) onto any CMS. Once installed it:
• Scans every page daily to surface contextual internal-link opportunities with relevance scoring.
• Automates on-page elements - meta titles/descriptions, image alt text, Open Graph tags and structured schema — improving Core Web Vitals and long-term SEO.
• Adds accessibility & ADA/WCAG fixes for better UX and compliance.
• Generates programmatic pages & content suggestions to close keyword gaps at scale.
• Provides competitor monitoring, technical audits & benchmarks inside a single dashboard, with white-label reporting for agencies.
All optimisations are rendered at request time - your source content stays untouched - so you can switch plans or leave without breaking anything. The changes stay with you forever, even after cancellation.",Zurich,"SEO Tools, Marketing Automation, AI Content, E-commerce Enablement",Between €1-€100K,2024,https://seojuice.io,Active,https://www.linkedin.com/company/seojuice-io,CH
Eiren AI: To-Do & Mindfulness App,https://www.eu-startups.com/directory/eiren-ai-to-do-mindfulness-app/,Switzerland,"The #1 AI growth companion: meditate, journal, plan, and evolve.","Eiren AI is the #1 AI-powered app for personal growth, meditation, and mindful planning. Create personalized meditations, journal with smart templates, and set clear visions and goals. Guided by an intuitive AI, Eiren helps you stay grounded and focused — all in one simple, beautiful space.",Zuerich,"Mobile App, Mindfulness, Productivity",No funding announced yet,2025,https://eiren.ai,Active,,CH
eFrontiers,https://www.eu-startups.com/directory/efrontiers/,Switzerland,"Our business model is B2B SaaS, offering financial institutions a white-labeled, gamified financial education platform on a subscription basis. We charge a fixed licensing and maintenance fee, along with a fee per qualified lead generated for our partners. With our AI-driven technology, we provide education in any language and localize content to resonate with regional audiences, working closely with partners to ensure relevance and accuracy.",,Geneva,"Financial Markets, Loans & Mortgages, Cryptocurrency, Budgeting",Between €500K-€ 1 million,2021,https://moneymasters.app/,Active,https://www.linkedin.com/company/efrontier-markets/,CH
Alterland,https://www.eu-startups.com/directory/alterland/,Switzerland,"Alterland is a subscription-based platform - a virtual workspace that uses cutting-edge technologies like Virtual Reality (VR), Artificial Intelligence (AI), and Unreal gaming engine to offer immersive, collaborative, and eco-friendly office environments, redefining how remote teams connect and work productively​.",,Lugano,"Remote Collaboration, Digital Transformation, AI-Powered Productivity",Between €500K-€ 1 million,2023,https://www.alterland.io/,Active,https://www.linkedin.com/company/alterlandsa/,CH
Gaia Tech,https://www.eu-startups.com/directory/gaia-tech/,Switzerland,"Gaia Tech turns residues form the agrifood industry into high-value ingredients for cosmetics, food, and feed manufacturers. Gaia Tech is emerging from the research project “Phenoliva”, an endeavor financed by EIT Food and hosted at the ETH Zurich. 

The ETH Spin-off company develops technologies that can unlock and market valuable resources found in byproducts from the agrofood sector, primarily olive sidestreams. The proprietary extraction technology, which is modular and scalable, has been awarded for its environmental friendliness and efficiency.",,Bern,"UpcycledIngredients, CircularEconomy, BioCompounds",Between €500K-€ 1 million,2023,https://www.gaiatech.ch/,Active,https://www.linkedin.com/company/gaiatechxyz/,CH
LiYF 2G,https://www.eu-startups.com/directory/liyf-2g/,Switzerland,"LiYF operates on a B2B licensing and equipment sales model, providing proprietary second-generation (2G) bioethanol technology to industrial biofuel producers. Our Ultrasonic Baffled Hydrothermal (UBH) reactor and countercurrent enzymatic saccharification significantly reduce enzyme costs (by 70%) and improve conversion efficiency. We generate revenue through technology licensing, IP equipment sales, and recurring royalties, enabling customers to produce cost-effective, carbon-neutral bioethanol for aviation, shipping, and energy markets. LiYF’s innovation drives sustainability and economic efficiency, positioning us as a leader in advanced biofuels.",,Zug,"bioethanol, renewable energy, sustainability",Between €100K-€500K,2023,https://liyf.com,Active,https://www.linkedin.com/company/liyf-2gbioethanol/,CH
Neology,https://www.eu-startups.com/directory/neology/,Switzerland,"Neology develops the Ammonia Power Generator (APG), an innovative system that cracks ammonia into high-purity hydrogen to feed a hydrogen fuel cell, enabling clean and efficient power generation. Our proprietary low-temperature ammonia cracking technology ensures a cost-effective, scalable, and emission-free hydrogen supply for off-grid power generation and heavy mobility applications. Our business model is evolving from direct sales of ammonia crackers to complete APG solutions, with long-term expansion into Energy-as-a-Service (EaaS) and licensing to drive widespread adoption​.",,Lutry,"Decentralized Hydrogen Production, Ammonia as Hydrogen Carrier, Hydrogen Fuel Cells",Between €100K-€500K,2023,https://www.neology.ch,Active,https://www.linkedin.com/company/neologyhydrogensa/,CH
3D Model-Based Analysis,https://www.eu-startups.com/directory/3d-model-based-analysis/,Switzerland,"The real estate industry accounts for 40% of global CO2 emissions. vyzn is a smart SaaS platform for real estate developers and engineers that leverages AI to optimize construction projects from the earliest planning stages. It helps automatically measure and reduce emissions and resource wastage, making buildings more sustainable and profitable.",,Zurich,"3D Model-Based Analysis, Life Cycle Assessment (LCA) Software, Energy Efficiency Calculations",No funding announced yet,2024,https://www.vyzn.tech/en,Active,https://www.linkedin.com/company/vyzn/,CH
AssetKing,https://www.eu-startups.com/directory/assetking/,Switzerland,"AssetKing provides an analytical tool leveraging data mining and AI-driven modeling to deliver 3 types of diversified portfolios including 12 asset classes. Each portfolio covers a wide range of options, such as stocks, crypto, ETFs, art, luxury goods, real estate and more. Investors can use the tool to build new portfolios or improve existing ones by implementing the suggestions with a broker. On the B2C side, we offer subscriptions while earning affiliate commissions from clients, while on the B2B side, we have paid API subscriptions and sponsorships with brokers.",,Geneva,"Personalized Investment Advice, Predictive Investment Analytics, Data-Driven Investment Strategies",Between €100K-€500K,2024,https://assetking.ch/,Active,https://www.linkedin.com/company/assetking/,CH
Toco,https://www.eu-startups.com/directory/toco/,Switzerland,"Toco's business model centres on a carbon-backed currency, the ""toco,"" which is directly linked to verified carbon mitigation assets, offering a transparent and efficient platform for individuals and businesses to take part in the carbon market and help fight climate change. By directly linking the monetary system to atmospheric carbon mitigation, toco aims to drive demand for carbon reductions, enhance market liquidity, and provide a scalable, global solution to climate action. Utilising a low-footprint, permissioned blockchain that is regulatory compliant, the system enables secure, low-cost transactions and supports a peer-to-peer payment network that can be deployed anywhere with internet access. By using better money, we can align economic growth with sustainable climate goals.",,Zug,"Monetary Policy, Blockchain, Carbon Markets",Between €500K-€ 1 million,2024,https://www.tocos.org/,Active,https://www.linkedin.com/company/carbon-is-money/,CH
Carbon Orchard,https://www.eu-startups.com/directory/carbon-orchard/,Switzerland,"At Carbon Orchard, we are redefining the path to a net-zero future by focusing exclusively on IPCC-Approved high-quality carbon removal solutions. Our mission is to help you to achieve your Net-Zero targets and together combat climate change by  driving global socioeconomic transformation through verified reforestation to restore natural biodiversity and wildlife.",,Bern,"Nature-Based Carbon Removal, IPCC-Approved Carbon Removal,",No funding announced yet,2024,https://www.carbonorchard.com/,Active,https://www.linkedin.com/company/carbon-orchard-ag/,CH
Vestir Technologies,https://www.eu-startups.com/directory/vestir-technologies/,Switzerland,"""Vestir is an AI-powered virtual fitting room, where shoppers see clothes on a true likeness of themselves in 3D video form. As their avatar moves, the fabric moves. They see their own body, face & skin tone, with their own natural movement – something no one has done before.
 
 Our primary customers are Mainstream Fashion Retailers, e.g. Inditex, H&M, Uniqlo & Benetton.
 
 The Vestir platform interfaces with Retailers’ websites. Our tech plugs & plays on Retailer Product Description Pages (PDPs), where shoppers click “Vestir Me” to display themselves wearing items.
 
 Our B2B offering is complemented by a B2C Freemium app. Users pay a monthly subscription for curated, personalized style advice catered to their unique body shape & coloring.""",,Zug,"AI-Powered Fashion Tagging, E-commerce Metadata Enhancement, Online Fashion Search Enhancement",Between €500K-€ 1 million,2024,https://vestir.ai/,Active,https://www.linkedin.com/company/vestir-ai/,CH
BehaviorSMART,https://www.eu-startups.com/directory/behaviorsmart/,Switzerland,"BehaviorSMART’s business model is built on a simple but powerful idea: the more we grow, the more sustainability becomes built into the DNA of the travel and hospitality industry. We generate revenue by developing and delivering smart, behaviour-based techniques that embed sustainability directly into the service design and daily operations of businesses, business groups, and destination authorities.","Our offerings include two core streams. First, we provide access to our beSMART Platform, a digital solution that offers ready-to-use behavioral tools for embedding responsible choices across key decision points in the guest journey. Second, we offer advisory and capacity-building services, working closely with partners to design, implement, and measure behavior-smart solutions tailored to their specific operational context.
What makes our model unique is its built-in scalability and systemic impact. Every time a new partner adopts our approach, they improve their own sustainability performance but also help shift industry norms. As more companies and supply chains use our tools, responsible behavior becomes the norm rather than the exception.",Lausanne,"Business Consulting Services, Sustainability, Commercial tactics",Between €500K-€ 1 million,2019,https://www.behavior-smart.com,Active,https://www.linkedin.com/company/behaviorsmart/,CH
Cybee AI,https://www.eu-startups.com/directory/cybee-ai/,Switzerland,"Secure your business from cyber threats and regulatory risks with Cybee.ai. Designed for SMBs, Cybee automates every aspect of cybersecurity and compliance with zero technical hassle. It’s the easiest way to achieve professional-grade protection without the need for a security department.","Cybee.ai delivers powerful cybersecurity, cloud security, and compliance automation for small businesses. With a 10-minute setup and no IT support needed, Cybee takes care of everything—from identifying threats to ensuring compliance—so you can focus on running your business safely. Protect your team and data effortlessly with Cybee.ai. Our automated platform delivers enterprise-grade security and compliance tools tailored for SMBs—no engineering knowledge necessary. Setup takes minutes, and Cybee takes care of everything from threat detection to regulatory adherence.",Schlieren,"SaaS, startup, cybersecurity",No funding announced yet,2024,https://www.cybee.ai/,Active,https://www.linkedin.com/in/ethanhays/,CH
SPREP,https://www.eu-startups.com/directory/sprep/,Switzerland,Sprep turns your documents into podcast-style dialogues to help you prepare for important conversations,"Sprep turns your documents into podcast-style dialogues to help you prepare for important conversations—whether it's a meeting, job interview, presentation, or exam. Accessible on web, mobile, and in-car, Sprep lets you learn, reflect, and rehearse anytime, anywhere. Ideal for students, professionals, and teams who value clear communication and efficient preparation.",Zurich,"Productivity, Presentations, AI",No funding announced yet,2024,https://www.sprep.ch/,,,CH
First 2 Apply,https://www.eu-startups.com/directory/first-2-apply/,Switzerland,"Land more interviews by being the first to know when new jobs are posted. Stop wasting time manually browsing LinkedIn, Indeed, Dice or other job boards.",,Zurich,"Job Alerts, Instant Job Notifications, Smart Filtering, Remote Jobs, Global Job Search, Application Tracker, AI-Powered Job Search, Job Search Automation, First 2 Apply",No funding announced yet,2024,https://first2apply.com,Active,https://www.linkedin.com/company/first2apply/,CH
Webmobix Solutions AG,https://www.eu-startups.com/directory/webmobix-solutions-ag/,Switzerland,Webmobix develops AI agents and custom software to empower businesses with impactful solutions.,"At Webmobix, we specialize in developing AI agents and custom software that empower businesses to achieve high-impact solutions. Our expertise spans across AI application development, software development, and strategic partnerships. We work closely with our clients to understand their unique needs and deliver tailored solutions that drive growth and innovation. Whether you're looking to automate processes, build custom software, or partner for success, Webmobix is here to help you create a brighter future together.",Zurich,"software, agency,development",Between €100K-€500K,2019,https://webmobix.com,Active,https://www.linkedin.com/company/webmobix/,CH
Swiss Helden â IT und Marketing Agentur,https://www.eu-startups.com/directory/swiss-helden-it-und-marketing-agentur/,Switzerland,"Swiss Helden ist eine führende Schweizer Marketing- und Softwarefirma, die sich auf innovative digitale Lösungen spezialisiert hat. Als renommierte Digital Marketing Agentur und Softwareunternehmen bieten wir erstklassige Dienstleistungen, um Ihre Online-Präsenz zu maximieren und Ihr Geschäftswachstum zu fördern.
Unser Team von Experten in den Bereichen digitales Marketing und Softwareentwicklung arbeitet engagiert daran, maßgeschneiderte Lösungen für Ihre individuellen Anforderungen zu entwickeln. Wir verstehen die Bedeutung einer effektiven digitalen Marketingstrategie und nutzen modernste Technologien, um Ihre Marke online sichtbar zu machen und Ihre Zielgruppe zu erreichen","Ich bin Suami Monaco ist der Digital Marketing Manager bei Swiss Helden. Mit umfassender Erfahrung in digitalen Marketingstrategien und einem tiefgreifenden Verständnis für die neuesten Trends und Tools in der Branche, ist er verantwortlich für die",Bern,"digital marketing, seo services, UI/UX",No funding announced yet,2024,https://swisshelden.ch/,Active,https://www.linkedin.com/company/swisshelden/,CH
EWM,https://www.eu-startups.com/directory/ewm/,Switzerland,We craft bespoke digital solutions that reflect the prestige and ambitions of the world's most demanding organisations.,"EWM.SWISS is a premier digital agency specializing in creating outstanding online experiences. With expertise in web development, UX/UI design, branding, and digital marketing, EWM.SWISS helps businesses establish a strong digital presence. The agency combines innovation with strategy to deliver customized, high-performance solutions that enhance engagement, drive growth, and elevate brands to new heights.",Geneva,"Agency, Web Development, Digital Marketing",Between €500K-€ 1 million,2011,https://ewm.swiss/,Active,https://www.linkedin.com/company/ewm-swiss,CH
SAVOIRR,https://www.eu-startups.com/directory/savoirr/,Switzerland,"Our intuitive platform adapts to specific needs, seamlessly integrating with workflows to stay ahead. By tracking legislation, reporting insights, and streamlining collaboration, SAVOIRR simplifies processes and enables informed decision-making. We give you access to millions of documents and real-time information related to the EU and Swiss legislative process. Its algorithm selects what’s relevant to you, so you can focus on planning your actions.","Our extensive EU legislative database grows continuously to make sure you don’t miss relevant developments. Create and manage tags to organise relevant information. Group related information to keep an overview at all times. If you collaborate with team members, you can easily manage who can see and access your work. At SAVOIRR, we believe your data belongs to you. By combining transparency, cutting-edge algorithms, and intuitive design, we transform complex legislative data into actionable insights - empowering informed decisions and collaboration for a connected future.",Zurich,"SaaS, EU legislation, platform",Between €1 million-€ 2.5 million,2018,www.savoirr.com,Active,https://www.linkedin.com/company/93090109,CH
Orango AI,https://www.eu-startups.com/directory/orango-ai/,Switzerland,"Orango AI is an in-product AI assistant that interacts with software interfaces on behalf of users. By controlling the cursor and navigating UI elements, Orango helps companies enhance user activation, reduce churn, and improve onboarding. Businesses can integrate it with just a single line of code, offering immediate, contextual user assistance.","Orango AI is an AI-powered in-product assistant that enables seamless interaction with any software. Acting as an intelligent guide, Orango autonomously learns how to use products and assists users by performing tasks directly within the UI. This eliminates the need for traditional onboarding tours, text-based chatbots, or costly human support.
The solution is particularly valuable for companies with complex or low-frequency usage products, where user confusion and poor onboarding often lead to churn and lost revenue. Orango helps businesses increase user activation and retention by providing an AI assistant that suggests actions, executes tasks, and provides real-time guidance—just like having an expert guiding users step by step.
The technology operates through a fine-tuned AI model specialized in visual software interaction. With just a URL and login credentials, Orango learns a product’s interface and becomes ready to assist users without requiring extensive development efforts from the business. Companies can integrate Orango with a single line of code, making it a scalable and cost-effective solution for enhancing the user experience.
With a rapidly growing market for AI-powered agents, Orango AI is positioned to revolutionize how businesses approach user onboarding, customer support, and automation, ultimately driving better engagement and higher retention rates.",Zurich,"ai, agents, onboarding, user-activation",No funding announced yet,2024,https://orango.ai,Active,https://www.linkedin.com/company/orango-ai/,CH
Securely Swiss,https://www.eu-startups.com/directory/securely-swiss/,Switzerland,"Simplified ordering and booking of security and intelligence problem solvers and solutions for any company, organization, family office and individual worldwide.","Swiss web service for the simplified ordering and booking of security and intelligence problem solvers and solutions for any company, organization, family office and individual worldwide. With few clicks you may order Consulting & Advisory, Professional Investigations, Private Intelligence Officer, Financial Investigations, Due Diligence, Background Checks, Executive Close Protection, Security Manager CSO, Safety Officer, Cybersecurity and Intel Solutions & Investigations, and Security Guarding. 
The Domain .Swiss represents Swissness in addition to the .ch domain name. In this case a .Swiss domain name constitute an indication of source within the meaning of Article 47.ff of the Federal Act on the Protection of trademarks and indications of source, as the condition to register a . Swiss domain is to have a physical office in Switzerland. Security and safety of the .Swiss domains is based on Swiss Federal Government measures and action plan.",Zurich,"Cybersecurity, Cyber Intelligence, Consulting, FININTEL",Between €100K-€500K,2024,https://www.securely.swiss,Active,https://www.linkedin.com/company/securely-swiss/,CH
Bloom Rocket GmbH,https://www.eu-startups.com/directory/bloom-rocket-gmbh/,Switzerland,"Bloom Rocket delivers powerful marketing solutions for tech companies, boosting brand visibility, driving growth, and ensuring measurable success.","Bloom Rocket is a results-driven marketing agency specializing in the tech industry. We create tailored strategies that amplify brand presence, attract ideal customers, and accelerate business growth. From data-driven performance marketing and SEO to compelling content creation and innovative brand campaigns, we offer end-to-end solutions designed to deliver measurable results. Our team combines creativity, industry expertise, and cutting-edge tools to ensure our clients stand out in a competitive market and achieve sustainable success.",Zürich,Performance Marketing,No funding announced yet,2022,www.bloom-rocket.ch,Active,https://www.linkedin.com/company/77645711,CH
tirreno,https://www.eu-startups.com/directory/tirreno/,Switzerland,"Tirreno provides open-source platform for preventing fraud, account takeovers, spam and abuse that you can self-host.","Tirreno is a universal security analytic tool for monitoring online platforms, web applications, SaaS, communities, mobile applications, intranets, and e-commerce websites.
For Website Owners: Protect your user areas from account takeovers, malicious bots, and common web vulnerabilities caused by user behavior.
For Online Communities: Combat spam, prevent fake registrations, and stop re-registration from the same IP addresses.
For Startups, SaaS, and E-commerce: Get a ready-made boilerplate for client security, including monitoring customer activity for suspicious behavior and preventing fraud using advanced email, IP address, and phone reputation checks.
For Platforms: Conduct thorough merchant risk assessments to identify and mitigate potential threats from high-risk merchants, ensuring the integrity of your platform.",Prilly,open source fraud prevention,No funding announced yet,2024,https://www.tirreno.com,Active,,CH
