name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,country,longBusinessDescription,companyStatus,linkedin
VoxThera,https://www.eu-startups.com/directory/voxthera/,Estonia,"""VoxThera's core offering is a comprehensive AI-powered speech therapy platform that combines advanced technology with traditional therapeutic methods. Our solution consists of three interconnected components designed to serve different user needs.
 The foundation of our platform is our proprietary AI engine that processes and analyzes speech patterns with unprecedented accuracy. This technology can detect over 40 different speech pathologies, including those most commonly encountered in Spanish healthcare settings such as articulation disorders, stuttering, and post-stroke speech impairments. Our system adapts to regional accents: VoxThera pilot Spanish version supports multiple languages, including Spanish, Catalan, Basque, and Galician, making it particularly valuable for multilingual communities — potentially of any studied language family in the world.""",Tallinn,"SMB Digital Solutions, AI Website Builder, Affordable Web Development",Between €100K-€500K,2023,https://bubuspeech.com/,EE,,Active,
Mirto AI,https://www.eu-startups.com/directory/mirto-ai/,Estonia,Transform Your Ideas into Stunning Videos with AI,"Tallinn, Harjumaa, Estonia","Content creators, AI enthusiasts, Regular people",No funding announced yet,2025,https://mirto.ai/,EE,"Mirto AI is an innovative platform that allows users to transform their written descriptions into stunning videos. With advanced AI technology, you can create high-quality, fluid videos that match your creative vision. Whether you're a content creator, marketer, or storyteller, Mirto AI provides the tools you need to bring your ideas to life. Customize your video settings, adjust the duration, and choose from various artistic styles to create the perfect video for your audience.",Active,https://www.linkedin.com/company/mirto-ai/
Honeysub By,https://www.eu-startups.com/directory/honeysub-by-99tries-ou/,Estonia,"HoneySub is a subscription machine for your local business.

Run subscriptions like a s&p500 company, and do it in minute.

Any product or service can be turned into a subscription offer with Honeysub, if you don't succeed it free!",Tallin,"subscription management, recurring billing, service-based businesses, grow revenue",No funding announced yet,2023,https://honeysub.com/di,EE,"HoneySub empowers small and local businesses—such as cafés, beauty salons, cleaning services, and home maintenance providers—to transform one-time customers into loyal subscribers. 
With dead simple dashboard, HoneySub allows users to create subscription plans, automate billing, send payment reminders, and manage customer relationships without any technical expertise. 
The platform also offers tools for automated Google review requests, promotions and hyper-local advertising to enhance customer engagement and visibility. By simplifying the subscription process, HoneySub helps businesses achieve predictable income and improved customer retention.",Active,https://www.linkedin.com/company/102375158/admin/dashboard/
Tragal,https://www.eu-startups.com/directory/tragal/,Estonia,Create Your Own AI Agents Without the Complexity,Tallin,AI Agent Bot Customer Lead,Between €100K-€500K,2025,https://tragal.ai,EE,"Tragal AI Agents are advanced conversational AI assistants that can be trained on your business data to handle customer inquiries, automate tasks, and provide 24/7 support. Each agent can be customized for specific use cases, such as customer service, lead generation, or appointment schedulin",Active,https://www.linkedin.com/tragalai
Kyros AML Suite,https://www.eu-startups.com/directory/kyros-aml-suite/,Estonia,"Kyros AML Suite is a complete KYC and AML suite, allowing you to onboard and monitor thousands of customers using one single dashboard. Kyros supports 200+ countries and has advanced options for PEP and sanction screening, transaction monitoring and AI-supported AML operations.",Tallinn,"Saas, FinTech, startup, amltech, regtech",Between €1-€100K,2022,https://kyrosaml.com/,EE,"Kyros AML Suite redefines KYC and AML management with its comprehensive, AI-enhanced platform. Built for businesses operating at scale, it simplifies compliance with a clean dashboard that handles thousands of customer profiles effortlessly.
With tools such as sanctions and PEP screening, automated transaction monitoring, and deep analytics, Kyros offers everything a modern compliance team needs to protect their organization and exceed regulatory demands.",Active,
RotaHog,https://www.eu-startups.com/directory/rotahog/,Estonia,"RotaHog is the simplest way to automate recurring team tasks, such as facilitating meetings, writing newsletters, or rotating on-call support. With RotaHog, you can create and share your team's rotation in seconds, eliminating the need for manual tracking and spreadsheets. Enjoy features like email reminders and shareable links to ensure everyone stays informed about their responsibilities.",Tallinn,"rotation,task,management,facilitator",No funding announced yet,2024,https://rotahog.com,EE,,Active,
BetterStudio,https://www.eu-startups.com/directory/betterstudio/,Estonia,"BetterStudio: Revolutionizing E-Commerce Photography with AI
Get high-quality fashion photography for your products with BetterStudio’s AI-powered platform.",Tallinn,"AI Technology, E-commerce, Fashion Tech, Photography Solutions, Shopify App, SaaS, MarTech",No funding announced yet,2024,https://www.betterstudio.io/,EE,"BetterStudio: Revolutionizing E-Commerce Photography with AI
BetterStudio is an AI-powered fashion photography platform that empowers e-commerce brands to produce professional-grade model photoshoots without the need for traditional photography. Thanks to BetterPic's acquisition of AiModelAgency.com in March 2025, BetterStudio offers an advanced, cost-effective solution to fashion retailers, particularly Shopify store owners. With the ability to transform basic product images into high-end fashion shoots in minutes, BetterStudio includes features like model and background customization, optimized lighting, and seamless integration with e-commerce platforms. Led by CEO Luca Arrigo, BetterStudio is the future of fashion photography, combining AI technology with the latest in digital imaging.",,https://www.linkedin.com/in/luca-arrigo/
Intelswift,https://www.eu-startups.com/directory/intelswift/,Estonia,AI-first Customer Service Automation,"Tallinn, Estonia","SaaS, Customer Communication, Artificial Intelligence, Customer Support, Software Services, AI Chatbots, HelpDesk Software, Live Chat Software",No funding announced yet,2024,https://intelswift.com/,EE,"One platform. Unlimited automation. Zero complexity.
Intelswift combines Helpdesk with AI Agents and AI Copilot, AI-powered automation, Smart Workflows, Knowledge Base, and a powerful AI Marketplace—giving businesses everything they need to streamline customer communication, without extra costs or endless integrations.",Active,https://www.linkedin.com/company/intelswift/
AI Render,https://www.eu-startups.com/directory/ai-render/,Estonia,Best AI render software for busy architects.,Tallinn,"architecture, design, render",No funding announced yet,2024,https://airender.io/,EE,AI Render turns architectural and interior designs into photorealistic visualizations in a matter of seconds. Upload your CAD design or line drawing and watch it render almost instantly.,Active,
Petme,https://www.eu-startups.com/directory/petme/,Estonia,"Petme is the all-in-one app for pets and their people. Whether you’re a pet owner, a pet sitter, a pet lover, or a pet business, Petme brings you into a vibrant community where pets take center stage. 

Download now to connect with pet lovers, find trusted pet sitters, and explore the best pet services. Whether you’re here to socialize, care for your pet, or grow your business, Petme is where it all happens.",Tallinn,"pets, social media, pet sitting, pet business",No funding announced yet,2023,https://petme.social/,EE,,Active,https://www.linkedin.com/company/petmesocial/
BoostFluence,https://www.eu-startups.com/directory/boostfluence/,Estonia,"Elevate your Instagram strategy with BoostFluence, an advanced automation tool that helps you grow your following and increase engagement. Our AI-powered campaigns drive organic interactions, making it easier than ever to attract real users who care about your content.",Tallinn,"SaaS, Startup",No funding announced yet,2018,https://www.boostfluence.com,EE,"Maximize your Instagram reach with BoostFluence, the smart automation platform designed for effortless growth. Our AI-driven campaigns engage with real users, helping you gain followers, increase engagement, and build your online brand. For marketers and content creators, BoostFluence also offers an intuitive management system for scheduling, analytics, and inbox organization. Stay ahead of the competition with the ultimate Instagram marketing tool.",Active,https://www.linkedin.com/in/adrien-missioux/
Sliptree,https://www.eu-startups.com/directory/sliptree/,Estonia,"Easy invoicing for small businesses and freelancers with branded designs, multi-language and currency support, built for fast payments.",Tallinn,"Invoicing Software Solutions, Entrepreneurial Tools, Professional Invoicing Solutions, Business Management Software, Online Invoicing Platforms",No funding announced yet,2011,https://sliptree.com,EE,"Sliptree is an intuitive invoicing app crafted for small businesses and freelancers, simplifying the creation of professional invoices. Unlike complex traditional software, it offers a streamlined, real-time visual editor to design branded invoices with logos and colors in minutes. With elegant themes optimized for fast payments, Sliptree makes invoicing feel effortless and efficient from one screen.
The app excels with its flexibility and global reach, supporting multilingual invoicing and multiple currencies for international clients. It includes advanced tools like late fee settings and a customer registry, plus EU-compliant e-invoicing for secure cross-border transactions. Whether you’re a freelancer or a small business, Sliptree turns invoicing into a hassle-free task, freeing you to focus on growth.
Key Features:
Real-Time Visual Editor: Create and preview professional invoices instantly, as easily as typing in a text editor.
Customizable Branding: Add your logo and brand colors, with elegant themes designed for fast payments.
Multilingual & Multi-Currency Support: Send invoices in your client’s language and currency for a personalized touch.
E-Invoicing Compliance: Supports EU-compliant electronic invoicing for seamless cross-border trades.
Late Fee Management: Set custom late fee rates to encourage timely payments from clients.
Customer Registry: Organize client details and streamline invoicing with a built-in database.
Single-Screen Workflow: Access all tools and features without leaving the editor, saving time and effort.",Active,
CreativePixel,https://www.eu-startups.com/directory/creativepixel/,Estonia,"AI creative studio: turning ""impossible"" to ""done"" in seconds.",Tallinn,"Marketing, Productivity, AI, Image Generator",No funding announced yet,2024,https://creativepixel.ai,EE,,Active,
WILD.CODES,https://www.eu-startups.com/directory/wildcodes/,Estonia,Wild.Codes is a global talent marketplace that helps tech companies scale with top-tier developers. Our subscription model simplifies hiring while reducing costs by up to 40%.,Tallinn,SaaS,No funding announced yet,2015,https://wild.codes,EE,"Wild.Codes is an innovative marketplace helping tech companies hire remote developers without recruitment stress. By offering pre-screened professionals on a flexible subscription plan, companies can scale with ease. The platform eliminates hiring complexities by managing payroll, contracts, and compliance. Businesses save up to 40% on development costs while gaining access to global talent. Each developer is matched to a project based on expertise and company culture. Wild.Codes ensures fast onboarding, so teams can hit the ground running. With hassle-free hiring, businesses can focus on innovation and growth.",Active,
DIGIMABBLE IT SOLUTIONS OÃ,https://www.eu-startups.com/directory/digimabble-it-solutions-ou/,Estonia,"We provide a comprehensive range of IT solutions designed to accelerate your business’s digital transformation. With a focus on innovation, agility, and client success, our services cater to businesses of all sizes across various industries. From strategic consulting to cutting-edge development, we are your partner in achieving sustainable growth and operational efficiency.",Tallinn,"Web & Mobile Application Development, Product Development, Digital Marketing",No funding announced yet,2024,www.digimabble.com,EE,,Active,https://www.linkedin.com/company/digi-mabble/
Directonaut,https://www.eu-startups.com/directory/directonaut/,Estonia,"Directonaut is an AI-powered marketing accelerator that transforms technical founders into confident marketers. It combines personalized AI mentoring, interactive customer simulations, and data-backed strategies to help founders market their products effectively. Unlike generic tools, it provides tailored guidance and actionable steps based on analysis of 2,000+ successful companies.",Tallinn,"AI, Marketing",No funding announced yet,2024,https://directonaut.com,EE,"Directonaut is an AI-powered marketing accelerator designed specifically for technical founders who excel at building products but struggle with marketing them effectively. Unlike traditional marketing tools or courses, it functions as an intelligent mentor that transforms technical founders into confident marketers through personalized, actionable guidance.
The platform combines advanced AI technology with proven marketing frameworks to deliver three core capabilities. First, it generates data-backed marketing strategies by analyzing over 2,000 successful companies, providing recommendations specifically tailored to each business. Second, it offers an innovative AI persona simulator where founders can practice and perfect their sales conversations, uncovering potential objections before real customer interactions. Third, it provides comprehensive website analysis from both design and copy perspectives, turning basic websites into powerful conversion engines.
What sets Directonaut apart is its ability to adapt and learn from each founder's unique context, offering personalized guidance that evolves with the business. With over 1,800 marketing strategies created and 1,100+ target personas generated, the platform has demonstrated its effectiveness in helping founders bridge the gap between technical expertise and marketing success. Starting at €8/month, it offers an affordable alternative to expensive marketing courses while providing more specialized guidance than generic AI tools.
The platform's impact is measurable and practical - founders move from struggling with conflicting marketing advice to implementing clear, actionable strategies that deliver predictable results. By combining AI technology with structured learning pathways, Directonaut helps technical founders build lasting marketing skills that benefit not just their current product, but every future venture they undertake.",Active,https://www.linkedin.com/company/directonaut/
Cuploop,https://www.eu-startups.com/directory/cuploop/,Estonia,"Cuploop offers a smart system for managing reusable food containers, helping service providers reduce single-use plastic waste. Their RFID enabled return stations make returning containers easy, promoting a sustainable, circular economy.",Tallinn,"rfid, reusable, circular economy, plastic waste",Between €1 million-€ 2.5 million,2018,cuploop.com,EE,,Active,https://www.linkedin.com/company/cuploop-smart-kiosk/
Automaticall,https://www.eu-startups.com/directory/automaticall/,Estonia,Convert website visitors to customers with AI phone call widgets,Berlin,"AI, Sales, CX, Customer engagement",No funding announced yet,2024,https://automaticall.io,EE,Automaticall allows SMBs to embed AI phone call widgets into your website and engage visitors to potentially convert them into customers and also do data collection and process them while sending you insights.,Active,https://www.linkedin.com/company/automaticall/
ContentBy,https://www.eu-startups.com/directory/contentby/,Estonia,ContentBy is an AI-powered video translation and repurposing tool for individuals and businesses to reach millions.,Tallinn,"AI, Media, Translation",No funding announced yet,2024,https://contentbyai.com/,EE,"Videos in native languages can increase audience retention by 40% and drive higher conversion rates. Video translation is 90% cheaper and 70% faster, allowing you to reach a global audience. With just a few clicks, you can translate your videos into 170+ languages with your natural voice and perfectly synced face.",Active,https://www.linkedin.com/company/contentbyai
Online Nikto scanner,https://www.eu-startups.com/directory/online-nikto-scanner/,Estonia,Online Nikto web server scanner designed to assess the security of web servers by identifying potential vulnerabilities and misconfigurations.,Männimäe,"SaaS, Cybersecurity, Security, Scanner",No funding announced yet,2024,https://nikto.online,EE,"At Nikto Online Scanner, we are dedicated to providing a comprehensive solution for assessing the security of web servers. Our platform offers a powerful tool that conducts extensive tests to identify potential vulnerabilities, misconfigurations, and security risks associated with web servers.
What We Offer:
Comprehensive Testing: Our scanner conducts comprehensive tests against web servers, examining multiple items such as potentially dangerous files/programs, outdated server versions, and version-specific problems.
Server Configuration Checks: We go beyond simple vulnerability scanning by checking server configuration items, including the presence of multiple index files, HTTP server options, and other crucial settings.
Identification of Installed Software: Our scanner is capable of identifying installed web servers and software, providing valuable insights into the server's environment and potential attack vectors.
Frequent Updates: To stay ahead of emerging threats and vulnerabilities, we regularly update our scan items and plugins. Our platform allows for automatic updates, ensuring that our users always have access to the latest security checks.",Active,
Artificial Tracking,https://www.eu-startups.com/directory/artificial-tracking/,Estonia,Improve safety at sea and reduce the human risk factor to the minimum. Give the ship owner a full understanding of what and why is happening on their ships.,Tallinn,"AI,maritime,maritime safety,",No funding announced yet,2020,https://artificialtracking.com/,EE,"ArtificialTracking improves the quality of maritime training and revolutionizes on-ship real-time monitoring by eliminating human errors for safe and efficient navigation. We are using AI to understand everything going on with the ship, from following the safety protocols to ensuring we always know the best course of action for everything happening on and with the ship. We provide this information to the crew on the bridge to ensure accidents do not occur with the ships any more.",Active,https://www.linkedin.com/company/artificialtracking/
