name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin
Trafero,https://www.eu-startups.com/directory/trafero/,Romania,"Your Personal Automated Financial Broker. Trafero automatically manages your bills, finds the best deals, and puts money back in your pocket when switching. A Trafero nasceu da vontade de disponibilizar um serviço que protege os consumidores, ajudando-os a encontrar as melhores opções para as suas despesas mensais, como as contas da eletricidade, água, gás, seguros, crédito, entre outras, de forma a melhorar as suas finanças pessoais.",,Lisbon,"Automated Energy Supplier Switching, Independent Consumer-Focused PlatformIndependent Consumer-Focused Platform, Seamless Green Energy Integration",Between €100K-€500K,2024,https://www.trafero.net/,Active,RO,https://www.linkedin.com/company/trafero-net/
ViTTor AI,https://www.eu-startups.com/directory/vittor-ai/,Romania,"ViTTor AI integrates specialized consulting with autonomous agents and a scalable pay-per-use platform to deliver secure and efficient Artificial Intelligence solutions. By combining technological innovation with human expertise, we transform processes, boost productivity, and create value in a smart and practical manner.",,Lisboa,"AI-Powered Innovation Platform, Model Marketplace, Scalable AI Infrastructure",Between €500K-€ 1 million,2025,http://vittor.ai/,Active,RO,https://www.linkedin.com/company/vittor-ai/
NutriCareLife,https://www.eu-startups.com/directory/nutricarelife/,Romania,"""We have a digital health platform that has a focus on precision nutrition and genetic testing. Our customers can also join a 3 month program where they meet with a specialist in order to solve their health problems.
 
 We have B2B2C model and B2C directly. We have products, services and technology that is in a patent pending process.
 
 Our beta apps are available on iOS and Android stores.""",,Voluntari,"Precision Nutrition, Health Optimization, Digital Health Platform, Lifestyle Transformation",Between €500K-€ 1 million,2015,https://www.nutricare.life/,Active,RO,https://www.linkedin.com/company/nutricarelife/
Gacriva Studio,https://www.eu-startups.com/directory/gacriva-studio/,Romania,"Video game development company, Gacriva Studio SRL is the owner or the licensee of all intellectual property rights in our Services, including all source code, databases, functionality, software, website designs, audio, video, text, photographs, and graphics in the Services (collectively, the ""content""), as well as the trademarks, service marks, and logos contained therein (the ""Marks"").",,Baia Mare,"Indie Game Development, Flagstone Game Series, Procedural Generation, AI-Driven Gameplay",Between €100K-€500K,2019,https://www.linkedin.com/company/gacriva-studio/,Active,RO,https://www.linkedin.com/company/gacriva-studio/
RepsMate,https://www.eu-startups.com/directory/repsmate/,Romania,"RepsMate is a conversation intelligence platform that integrates with existing telephony, chat, and email systems. By providing organizations with the tools to empower their agents, it ensures top-notch service in every interaction. RepsMate analyzes all customer interactions, identifying areas for improvement and transforming them into actionable insights. This targeted approach helps address specific weaknesses in customer-facing departments, leading to more satisfied customers, increased operational efficiency and revenue growth.",,Bucharest,"Sales Software, Artifficial Intelligence, Conversational Intelligence, Real-Time Virtual Coaching",Between €500K-€ 1 million,2020,https://www.repsmate.com/,Active,RO,https://www.linkedin.com/company/repsmate/
ActionPoint,https://www.eu-startups.com/directory/actionpoint/,Romania,"Subscription Based SaaS - we memorize any conversation. Artificial Memory for your calls, meetings, and conversations. ActionPoint records, organizes, and makes everything searchable — so you can ask questions and find answers anytime. ActionPoint provides an Artificial Memory: a knowledge base for professional and personal conversations, including calls, meetings, chats, and emails",,Bucharest,"AI-Powered Meeting Intelligence, Real-Time Transcription and Translation, Support for AI Solution Developers",Between €100K-€500K,2021,https://actionpoint.ai/,Active,RO,https://www.linkedin.com/company/ixaria/
Ixaria,https://www.eu-startups.com/directory/ixaria/,Romania,"3D Product Configurator and AR visualization technology platform. The core focus is on enhancing the online shopping experience, boosting conversions, and bridging the gap between online and offline sales. Ixaria's mission is to modernize the way furniture is being sold.
That's why our 3d product configurator comes equipped with everything you need to sell both online and in the showroom.",,Timișoara,"Mobilă modulară personalizată, Design funcțional și estetic, Servicii personalizate pentru clienți",No funding announced yet,2021,https://www.ixaria.ro/,Active,RO,https://www.linkedin.com/company/ixaria/
Recycllux,https://www.eu-startups.com/directory/recycllux/,Romania,"""At Recycllux, we make marine plastic waste cleanup both fast and efficient with deeptech (Earth Observation, Machine Learning & Blockchain). Our proprietary AI algorithms analyze Earth Observation satellite data to identify plastic waste spots. Then, our online portal, powered by blockchain, connects responsible companies and administrations, fishing vessels, NGOs, and recyclers to facilitate end-to-end cleanup interventions. 
 Our platform empowers companies and administrations to create meaningful environmental change with traceability at its core, ensuring each step in the cleanup and recycling process is accountable and efficient.""",,București,"AI-Powered Marine Plastic Detection, Blockchain-Enabled Waste Traceability, Marine Plastic Offset Credits",Between €100K-€500K,2021,https://recycllux.com/,Active,RO,https://www.linkedin.com/company/recycllux/
Ruuts.travel,https://www.eu-startups.com/directory/ruutstravel/,Romania,"The Football Brain is a central information system for football clubs.
It aggregates the huge amounts of descentralized data generated by each department (Financial, Marketing, Medical, Scouting, Youth Academy) and improves decision making using the power of data and AI. Ruuts.travel is a purpose-driven slow travel startup and focused on making travel more sustainable, immersive, and locally impactful. We curate and distribute guided and self-guided tours and authentic experiences that highlight off-the-beaten-path destinations, supporting communities often overlooked by mass tourism.",,Bucharest,"Campervan Rentals, Slow Travel Experiences, Sustainable Tourism",Between €100K-€500K,2021,https://ruuts.travel/,Active,RO,https://www.linkedin.com/company/ruuts-travel/
The Football Brain,https://www.eu-startups.com/directory/the-football-brain/,Romania,"""In modern football, the heart is not enough.
 The Football Brain aims to improve the decision making within football clubs and football academies through ddigitalization, data management and AI."" The Football Brain is a central information system for football clubs.
It aggregates the huge amounts of descentralized data generated by each department (Financial, Marketing, Medical, Scouting, Youth Academy) and improves decision making using the power of data and AI.",,Iași,"Comprehensive Football Club Management, Data-Driven Decision Making, Integrated Technical and Medical Monitoring, Enhanced Fan Engagement",Between €100K-€500K,2021,https://www.tfb.ai/,Active,RO,https://www.linkedin.com/company/the-football-brain/
Mommy HAI App,https://www.eu-startups.com/directory/mommy-hai-app/,Romania,"Mommy HAI App is an one stop shop platform for parents, connecting them with kid-friendly locations, services, activities, and events tailored to their child’s age, interests, and proximity. It serves as a mobile application that builds a supportive ecosystem for parents, simplifying their lives. By saving time and keeping parents connected, the app helps them support their children’s development, education, and exploration of the world. It also empowers businesses in the kids’ industry to reach their target audience effectively.",,Bucharest,"Agregator pentru părinți, Marketplace pentru părinți, Accesibilitate națională",Between €100K-€500K,2022,https://www.mommyhai.com/,Active,RO,https://www.linkedin.com/company/mommy-hai/
Agence K,https://www.eu-startups.com/directory/agence-k/,Romania,"PR Agency : An Influence business delivering creativity strategies for brands, institutions and public personalities to restore public trust with the market according to their favorite buys and consummation habits. Agence K is reuniting professionals with the same worldview, ethics, and exigence.
We seek to answer the needs of an intense, fast, interconnected, and constantly evolving world.",,Bucharest,"Strategic Communication, Creative Campaigns, Event Management",Between €100K-€500K,2024,https://agencek.ro/,Active,RO,https://www.linkedin.com/company/agencekro/
Remote Butler,https://www.eu-startups.com/directory/remote-butler/,Romania,"Remote Butler is an innovative digital platform that addresses critical challenges in the hospitality industry, including staffing shortages, language barriers, and the need for inclusivity. Through multilingual remote waiter service, we connect restaurants with trained professionals, including individuals with disabilities, offering sustainable, inclusive employment opportunities. Our business model is based on a percentage from each order facilitated through our platform. 10% * charged from the restaurants, 7% for waiters, 3% for us. This aligns our success directly with that of our partner restaurants, creating a partnership relationship where growth and profitability are shared goals.",,Cluj-Napoca,"Diverse Industry Applications, 3D Product Configurators, Seamless E-Commerce Integration",Between €100K-€500K,2022,https://butler.expert/en/remote-waiter/,Active,RO,https://www.linkedin.com/company/remote-butler-hospitality/
360Configurator.com,https://www.eu-startups.com/directory/360configurator.com,Romania,"360Configurator is a CPQ solution designed to help businesses automate and optimize the configuration, pricing, and quoting of customizable products. Its technology integrates advanced 3D visualization, real-time pricing engines, and rule-based configuration logic to ensure accurate and efficient quote generation. This solution enhances sales productivity, reduces errors, and improves customer satisfaction by enabling seamless customization and instant, accurate quotes. It is particularly valuable for industries like manufacturing, automotive, and B2B sales, where product complexity and customization are critical.",,Bucharest,"3D Product Configurators, Real-Time Customization & Pricing, Diverse Industry Applications",Between €100K-€500K,2023,https://360configurator.com/,Active,RO,https://www.linkedin.com/company/360configurator/
minglr,https://www.eu-startups.com/directory/minglr/,Romania,"Welcome to minglr! The first NON-dating app dedicated to enriching your social life through genuine connections. At minglr, we're revolutionizing the way people interact by focusing on friendships, business networking, and travel. Our platform is designed to help you meet like-minded individuals in your vicinity or across the globe, fostering meaningful interactions. Join us as we redefine social networking with an emphasis on building valuable and lasting relationships. Explore minglr today and discover a world of opportunities to connect and collaborate!",,London,"Custom Software Development, API Development and Integration, IT Discovery & Business Analysis",No funding announced yet,2023,https://www.linkedin.com/company/minglr/,Active,RO,https://www.linkedin.com/company/minglr/
Inereto,https://www.eu-startups.com/directory/inereto/,Romania,AI system to understand the functionalities for a CRM to be implemented in order to optimize existing business processes. I have already 3 premium clients and I want to scale it internationally.,,Bucharest,"API Development and Integration, Inereto CRM, IT Discovery & Business Analysis",Between €100K-€500K,2023,https://www.inereto.com,Active,RO,https://www.linkedin.com/company/ineretogroup/
Elvant,https://www.eu-startups.com/directory/elvant/,Romania,"B2B business model, licensing, manufacturing. Elvant develops an efficient blown wing system using artificial intelligence which reduces the fuel consumption by 20% and extends the endurance and range of unmanned aerial vehicles by 25%.",,Bistrita,"Blown Wing Technology, Energy-Efficient Aviation, Short Takeoff and Landing (STOL) Capability",Between €100K-€500K,2023,https://teransisplus.com/,Active,RO,https://www.linkedin.com/in/horia-calin-zagura-9636627a/
TelePaws,https://www.eu-startups.com/directory/telepaws/,Romania,"Welcome to our revolutionary veterinary telemedicine service, where cutting-edge technology and genuine care come together to nurture your beloved companions' well-being. Our veterinary telemedicine service brings advanced technology and heartfelt care together, allowing you to access expert advice and support for your furry friends from the comfort of your home. Our dedicated team is here to enhance your companions' well-being and ensure they receive the best care they deserve.",,Cluj-Napoca,"Telemedicină veterinară, Educație și prevenție, Marketplace premium",Between €100K-€500K,2023,https://www.linkedin.com/company/telepaws/,Active,RO,https://www.linkedin.com/company/telepaws/
Waiheke,https://www.eu-startups.com/directory/waiheke/,Romania,"We’re building a conversational AI-powered coaching tool that personalizes career development for employees. We help companies increase engagement, improve productivity, and align employee skills with business goals by providing tailored career coaching based on each employee’s learning style and career needs.",,Bucharest,"AI-Powered Career Coaching, Vocational Clarity, SMART Goal Setting, Scalable Solutions for Organizations",Between €100K-€500K,2023,https://waiheke.ai/,Active,RO,https://www.linkedin.com/company/waiheke-ai/
Bit&R,https://www.eu-startups.com/directory/bitr/,Romania,"Bit&R is an adaptive AI-driven platform for kids aged 8-12 where they learn coding faster by building and sharing their own games. Just after 3 hours spent on Bit&R they have the basic skills to build their websites. Kids solve code challenges and once they finish a game, they unlock new content and build their own. We have developed a trans-linguistic scalable algorithm for Robert, our LLM assistant that can help kids in their learning process by helping them with code error handling. Kids can use Robert giving him text prompts to build their own games and learn about the concepts behind the programming concepts and code. We have a B2C monthly or yearly subscription for parents to pay for their kids as individual learners at home. We plan to introduce a B2B2C tier for schools and educators to use Bit&R as a complementary product in the ICT/informatics class.",,Bucharest,"Gaming Startup, Game Development, International Collaboration",Between €100K-€500K,2023,https://www.bitandr.com/,Active,RO,https://www.linkedin.com/company/bit-and-r/
OnChat.ai,https://www.eu-startups.com/directory/onchatai/,Romania,"OnChat is an AI chatbot creation platform that allows you to easily build your own virtual assistant, which you can train with the content of your online store or any other textual material. OnChat distinguishes itself from the competitors by its unique capability to provide answers regarding order statuses, and more. While many competitors primarily focus on product recommendations, OnChat prioritizes delivering real-time information about orders, enhancing user experience and customer support.",,Bucharest,"AI-Powered Virtual Assistant, No-Code Chatbot Builder, Real-Time Order Tracking",Between €100K-€500K,2024,https://onchat.ai/,Active,RO,
Behave,https://www.eu-startups.com/directory/behave/,Romania,"Behave is a platform who put in relations local businesses with local micro and Nano influencers. We use AI to create optimize matching, contract management and seamless pricing. Our business model is based on transactional fees with subscriptions for premium features",,Cluj-Napoca,"Creator-Brand Collaboration, Influencer Marketing Platform, Authentic Growth Strategies",Between €100K-€500K,2024,https://behave.ro/,Active,RO,https://www.linkedin.com/company/behavero/
PortPace,https://www.eu-startups.com/directory/portpace/,Romania,"Sustainable drone transport/delivery alternatives to legacy, carbon intensive, services. We focus on shore-to-ship deliveries, wind turbines maintenance with 0 human injuries, and critical supply delivery to remote areas. We provide support during your journey to reduce the carbon footprint of your operations using interoperability at all levels of the transport system.",,Bucharest,"Green Logistics Solutions, Interoperable Transport Systems, Electric Vehicle Fleet",Between €100K-€500K,2024,https://portpace.com/,Active,RO,https://www.linkedin.com/company/portpace/
Defensive Pedal,https://www.eu-startups.com/directory/defensive-pedal/,Romania,"Navigation app that finds the safest route for cyclists, even without existing bike infrastructure. Navigation app for urban cyclists that creates routes optimized for safety, not speed or distance. So that you can pedal in safety anywhere, even where there no bike lanes",,Bucharest,"Safe Cycling Routes, AI-Powered Navigation, Real-Time Hazard Signaling",Between €100K-€500K,2024,https://www.defensivepedal.com/,Active,RO,https://www.linkedin.com/company/defensive-pedal/
Lorna AI,https://www.eu-startups.com/directory/lorna-ai/,Romania,"Subscription based SaaS AI-driven solution for conversation & business intelligence . Analyzes all conversations and data, turning them into insights.
Perfect meeting notes that capture every crucial detail. Ask anything and get instant, accurate answers about any topic to keep your team aligned and moving forward.",,Bucharest,"AI-Powered Meeting Assistant, Real-Time Meeting Insights,, Seamless Meeting Integration",Between €100K-€500K,2024,https://lorna.ai,Active,RO,https://www.linkedin.com/company/lorna-ai/posts/
HandsFree Solutions,https://www.eu-startups.com/directory/handsfree-solutions/,Romania,"Saas business model focused on heavy bureaucracy businesses (architecture, law, accounting) to facilitate their progress and reduce their time of operation by 50%. Started with architecture companies with a Project management tool which eases the bureaucracy process by automatically completing the papers for each project based on the client/project details.",,Bucharest,"Birocrație redusă, Automatizare documente, Platformă intuitivă",Between €100K-€500K,2024,https://handsfree.solutions/,Active,RO,
Orchestrator Software Solutions,https://www.eu-startups.com/directory/orchestrator-software-solutions/,Romania,"""The digital revolution is transforming the world, but it comes at a cost. Fraud and fraudsters are rapidly evolving, taking advantage of this shift to create increasingly sophisticated scams, while businesses struggle to keep up.
 
 Our idea is to productivize the mechanisms of Know Your Customer (KYC) practices, establishing a strong first line of defense that helps protect businesses worldwide.""",,Bucharest,"Identity Orchestration Platform, Seamless KYC Compliance, Risk-Based Verification Workflows",Between €100K-€500K,2024,https://orchestrateid.com/,Active,RO,
Acum Acum,https://www.eu-startups.com/directory/acum-acum/,Romania,It’s an app dedicated for businesses to sell their services. I added ai features like giving insights for companies what are the most search services from the category are from and also for user to receive recommendations based on their interest,,Bucharest,"Prezență online, Platformă de încredere, Interacțiune directă",Between €100K-€500K,2025,http://acum-acum.com,Active,RO,
Romania,https://www.eu-startups.com/directory/romania/,Romania,"Influfit is a cutting-edge platform empowering influencers to sell personalized diet and workout programs while leveraging advanced AI features to enhance their offerings. The app includes tools for content creation, e-commerce functionality, and subscription-based program management, enabling influencers to scale their fitness brands effortlessly. AI-driven insights help influencers optimize their content, while users benefit from personalized recommendations tailored to their fitness goals. Additionally, Influfit enables partnerships with gyms, studios, and Pilates centers, facilitating hybrid meetings that combine virtual and in-person sessions for a holistic and flexible fitness experience.",,Bucharest,"Influencer Fitness Programs, Monetize Workout Routines, Personalized Training Plan, Direct-to-Fan Fitness Content",Between €100K-€500K,2025,https://influfit.club/,Active,RO,
ShareAI,https://www.eu-startups.com/directory/shareai/,Romania,"Decentralized AI Infrastructure powered by you and me. Think uber, but for open source model, a marketlace where anyone can join and share their resources, earn tokens that they can use later, or get paid for their compute power that they provide.",,Bucharest,"Decentralized AI Infrastructure, Tokenized AI Model Access, Community-Powered AI Cloud",Between €100K-€500K,2025,https://shareai.now,Active,RO,https://www.linkedin.com/company/shareai/
FastPixel,https://www.eu-startups.com/directory/fastpixel/,Romania,"FastPixel takes your WordPress site to the next level with its cloud-powered optimization engine. In just a few clicks, you’ll enjoy lightning-fast load times that not only impress visitors but also give your Google rankings a solid boost.",,"Bucuresti, Bucuresti","WordPress, Speed, Software, Software As A Service, Website Builder, Fast, Easy, Optimization, Plugin, CDN",No funding announced yet,2022,https://fastpixel.io,,RO,
ManuscriptReport,https://www.eu-startups.com/directory/manuscriptreport/,Romania,AI Book Marketing Reports for Authors,"ManuscriptReport turns any manuscript into a launch-ready marketing machine in less than ten minutes. Our AI combs every page, surfaces marketable hooks, and exports a polished report packed with sales copy, SEO keywords, comp titles, and pre-made social and blog content—assets that normally cost hundreds through human consultants.
Key Features
- All-in-One Marketing Report: Fifteen interlocking sections—blurbs, genre positioning, ad copy, press-release text, KDP categories, and more—delivered in a single, shareable pdf report.
- Social-Media Kit: Roughly thirty scroll-stopping posts complete with eye-catching images and hashtags to grow your platform organically.
- Blog-Series Generator: Six to ten professionally structured articles that spotlight your book’s themes and keep readers engaged between launches.
- Book Bible: A searchable dossier of characters, locations, timelines, and lore to maintain series continuity or brief collaborators fast.
Benefits at a Glance
- Save 30+ Hours by off-loading research, copywriting, and metadata grunt work.
- Spend Just $34.99 instead of shelling out $500+ for specialist advice.
- Agency-Level Quality vetted for tone, genre fit, and keyword density.
- Scale with Ease thanks to white-label PDFs and volume discounts for presses.
- Data-Backed Decisions driven by real-time comp analysis and audience insights.
Who Uses It?
Debut indie authors, rapid-release series writers, boutique publishers, marketing agencies, and literary agents all rely on ManuscriptReport to produce pitch-perfect collateral in minutes, not weeks.
How It Works
1. Upload your manuscript.
2. AI Analysis runs multilayered checks—SEO, genre trends, audience personas, comparative titles, and much more.
3. Receive a comprehensive marketing blueprint straight in your inbox, ready to copy-paste into Amazon KDP, blogs, newsletters, and ads.",Bucharest,"Authors, Publishing, Marketing, Book Marketing",No funding announced yet,2023,https://ManuscriptReport.com,Active,RO,
CoLaunchly,https://www.eu-startups.com/directory/colaunchly/,Romania,"CoLaunchly is your launch co-pilot made for developers. Instantly get a personalised launch roadmap, content templates, and channel strategy-built to help your product grow from day one.",,Romania,"AI, Marketing, SaaS",No funding announced yet,2025,https://colaunchly.io,Active,RO,https://linkedin.com/company/colaunchly
NewTech Academy,https://www.eu-startups.com/directory/newtech-academy/,Romania,IT courses for upskilling and reskilling,"NewTech Academy is your gateway to a successful IT career. We provide cutting-edge professional training programs. Courses include full-stack development, UI/UX design, cybersecurity, data analysis, and digital marketing – delivered live and online by experienced instructors. As part of the Wawiwa global network, our educational model is crafted by international experts and tailored to meet local market demands. Our curriculum emphasizes 70% hands-on practice to fully prepare you for the industry. Whether you're starting from scratch or looking to upskill, our mentors are here to guide you every step of the way. Thanks to strong partnerships with local IT companies, our graduates find employment quickly. All courses are accredited by the Ministry of Labor and authorized by ANC.",București,"it course,programming course,marketing course,cybersecurity course",No funding announced yet,2022,https://www.newtech.ro/,Active,RO,https://www.linkedin.com/school/newtech-academy/posts/?feedView=all
