name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
StudyLock,https://www.eu-startups.com/directory/studylock/,Czechia,"Struggling to stay focused while studying?

StudyLock helps you stay on track by blocking distracting apps — and only unlocking them once you’ve studied and passed a quiz.


Whether you're preparing for exams, tackling daily assignments, or working on long-term projects, StudyLock creates a structured, distraction-free environment powered by AI to support your learning.


How it works:

Upload study materials (PDFs or images) → Block distracting apps (yes, even TikTok) → Learn through AI-generated summaries → Take a quiz to prove you've studied → Unlock your apps once you meet the score threshold


Features:

• Set your own quiz score requirement to unlock apps

• Learn in the language you're most comfortable with

• Track completed sessions and study time

• Get personalized insights and study statistics

• Join study groups using your school or organization email — share sessions, stay motivated, and track your group’s progress


Earn your screen time with real study time.",,Prague,"Education,Study,AI",No funding announced yet,2025,https://studylock.github.io/,Active,,Czechia
SHFT,https://www.eu-startups.com/directory/shft/,Czechia,"SHFT Run is the next-generation AI-powered running coach, designed to help runners become smarter, faster, and safer by optimizing their technique and efficiency. By analyzing biomechanics with SHFT Pods and AI-driven coaching, SHFT enables runners to run faster using the same energy while reducing injury risk by aligning their movement with how the human body is naturally built to run. Our business model includes a freemium app (SHFT Run Entry) with essential coaching features and a premium version (SHFT Run Pro) that integrates SHFT Pods for full biomechanical analysis and real-time feedback.",,Praha,"Product, Service, AI, B2B",Between €500K-€ 1 million,2017,https://www.shft.run,Active,,Czechia
Recon Wave,https://www.eu-startups.com/directory/recon-wave/,Czechia,Recon Wave is External Attack Surface Management platform. We show companies how hackers see them on the Internet and show them how to protect themselves. Our business model is SaaS platform that helps security teams to better see and defend their company.,,Czechia,"SaaS, Assets Discovery, Port scanning, Detect Risks",Between €100K-€500K,2024,https://reconwave.com/,Active,,Czechia
BondUs.cz,https://www.eu-startups.com/directory/bonduscz/,Czechia,"SaaS for SMBs with personal app-free based loyalty program. Introducing the Digital Bonding Suite by BondUs.cz, a revolutionary platform designed to transform customer relationships through advanced digital cards and loyalty programs. Leveraging over a decade of hospitality insights, our suite offers personalized engagement tools, comprehensive analytics, and seamless integration capabilities.",,Prague,SaaS,Between €100K-€500K,2022,https://bondus.cz,Active,https://www.linkedin.com/company/bondwithus/,Czechia
Nonverbia,https://www.eu-startups.com/directory/nonverbia/,Czechia,"Nonverbia operates as a SaaS platform that transforms sales video calls into actionable insights. Using advanced analytics and state-of-the-art AI datasets, it evaluates nonverbal cues, engagement levels, and presentation effectiveness, providing engagement scores, instant summaries, and audience reactions. Our subscription-based model offers tiered plans, including a free trial with limited analysis minutes, catering to businesses of all sizes. By integrating with existing tools like CRMs, Nonverbia streamlines workflows, enabling sales teams to improve performance and close deals faster.",,Zurich,"AI, Technology, Information, Internet",Between €100K-€500K,2024,https://nonverbia.com/,Active,https://www.linkedin.com/company/nonverbia/,Czechia
Adalid Sciences,https://www.eu-startups.com/directory/adalid-sciences/,Czechia,"We discover and develop novel lipid nanoparticles of exceptional properties for gene delivery to treat and prevent diseases of urgent and unmet medical need. Advanced drug delivery systems for genomic medicine, utilizing innovative lipid nanoparticles (LNPs). At Adalid, we are dedicated to advancing pharmaceutical solutions through the development of novel lipid nanoparticle  technology.",,Prague,"Biotechnology, Lipid Nanoparaticles, LNP, Drug Delvery Systems",Between €500K-€ 1 million,2024,https://www.adalidsciences.com,Active,,Czechia
Gamifit,https://www.eu-startups.com/directory/gamifit/,Czechia,"Gamifit transforms children's physical activity into an immersive mobile game, making movement fun through gamified workouts and story-driven challenges. Addressing the ever-growing issue of children's inactivity, the platform blends RPG mechanics—like avatar progression, storytelling, and battles—with real-world fitness. Backed by a team with expertise in psychology, children's sports, and B2C marketing, we’ve just launched our first MVP.",,Czechia,"E-Learning Providers, Fitness Trainer, Mobile Games",Between €100K-€500K,2022,https://www.gamifit.cz/,Active,https://www.linkedin.com/company/gamifit/,Czechia
PalmApp,https://www.eu-startups.com/directory/palmapp/,Czechia,"AI MetaHuman Intranet for employees in corporates. Enables onboarding, analyzing and converting variuous company directives into simple for. In addition, combined with earned wages accesss via mastercard cashback card. Through our products and services, we enable people to experience how simple the future really is.",,Prague,"HR benefit, Employee attraction, ESG, HR",Between €500K-€ 1 million,2021,https://www.palmapp.com,Active,https://www.linkedin.com/company/palmapp-tech,Czechia
UDX.aero,https://www.eu-startups.com/directory/udx.aero,Czechia,"UDX.aero is operating under the brand Unlimited Drone eXperience (UDX), is a Czech-based company specializing in the development of personal electric vertical takeoff and landing (eVTOL) hoverbikes. Our flagship product, the Airwolf, is designed to provide an exhilarating and efficient mode of personal air transportation. We are developing Airwolf, eVTOL hoverbike designed to bring enjoyable & safe flight experience for anyone.",,Prague,"Evtol, Aerospace, Prototyping, Engineering",Between €100K-€500K,2020,https://udx.aero,Active,https://www.linkedin.com/company/udxresearch/,Czechia
PalDock,https://www.eu-startups.com/directory/paldock/,Czechia,"PalDock is a technology company specializing in affiliate marketing and lead generation solutions. Our mission is to empower businesses to streamline and scale their performance marketing efforts through a unified platform that combines advanced tracking, real-time analytics, automated lead distribution, and fraud protection. Serving industries such as e-commerce, finance, telecom, SaaS, and iGaming, PalDock helps companies optimize partner management, improve campaign ROI, and maintain brand integrity with a user-friendly, scalable system designed for businesses of all sizes.","PalDock is a leading technology company dedicated to transforming how businesses manage affiliate marketing and lead generation. In today’s competitive digital landscape, companies face numerous challenges including fragmented marketing tools, inaccurate tracking, inefficient lead management, and increasing concerns around privacy and fraud. PalDock addresses these pain points by providing a comprehensive, all-in-one platform that unifies affiliate partner management, campaign tracking, automated lead distribution, and advanced fraud detection.
Our platform leverages both cookie-based and cookieless tracking technologies to deliver precise, real-time insights into campaign performance across multiple channels, enabling marketers to make data-driven decisions and maximize ROI. PalDock’s customizable commission models and flexible payout structures empower businesses to incentivize their affiliates effectively, while automated API integrations ensure seamless lead flow to the right partners, reducing delays and improving conversion rates.
Serving a broad range of industries including e-commerce, finance, telecom, SaaS, and iGaming, PalDock is built to scale with businesses—from startups launching their first affiliate programs to large enterprises managing thousands of partners worldwide. Our user-friendly interface and robust feature set simplify complex marketing operations, enabling teams to focus on strategic growth rather than manual processes.
At PalDock, we prioritize brand safety and partner trust by incorporating sophisticated fraud detection tools that monitor traffic quality and prevent malicious activity. Our vision is to empower businesses with transparent, efficient, and scalable performance marketing solutions that drive sustainable growth in an evolving digital ecosystem.",Prague,"Affiliate marketing, lead generation, tracking, automation",Between €100K-€500K,2014,https://paldock.com/,Active,https://www.linkedin.com/company/paldock/?originalSubdomain=cz,Czechia
taskinfinity.com,https://www.eu-startups.com/directory/taskinfinity.com,Czechia,"TaskInfinity is an AI-powered copilot designed to streamline and supercharge your fundraising efforts. It helps founders, startups, and fundraising teams craft investor emails, pitch decks, and personalized outreach using intelligent automation. Save time, boost engagement, and close deals faster with TaskInfinity.","Taskinfinity is an AI-powered fundraising platform designed to help early-stage startups find the right investors and scale cold outreach with ease.
Using LLM technology, it compares your startup against 4 million portfolio deals from over 200,000 investors to identify similar rounds and relevant partners — backed by a verified database of 60,000 investor emails and LinkedIn profiles.
Founders can also automate their entire outreach infrastructure, including domain and mailbox setup, all within Taskinfinity.com.",Praha,"SaaS, Startup, Fundraising, Outreach",Between €500K-€ 1 million,2024,https://taskinfinity.com/,Active,https://www.linkedin.com/company/taskinfinity/,Czechia
Foodament,https://www.eu-startups.com/directory/foodament/,Czechia,"Uncover all food secrets. Foodament is an AI-powered app that reveals all food secrets from a single photo—no barcode needed. It provides instant analysis of nutrition, additives, allergens, origin, processing, and sustainability for any packaged food product. Built for global users, Foodament turns your phone into a universal food transparency tool.","Foodament is a groundbreaking AI-powered food transparency platform that allows anyone to instantly analyze any packaged food product with a simple photo — no barcode required.
Using cutting-edge computer vision and multilingual AI, Foodament reveals the full story behind what we eat: nutritional value, additives, allergens, glycemic impact, origin, sustainability, bio certification, and more. In just 3–7 seconds, users receive a clear, structured, and globally relevant breakdown of any product's health and environmental impact — whether it’s from a local market in Prague or a supermarket shelf in Tokyo.
Unlike existing apps that rely on barcodes or static databases, Foodament is built to work anywhere in the world, in any language, and without the need for prior registration of products. It is radically simple, fast, and universally accessible — a true food intelligence engine in your pocket.
We aim to empower individuals, influence better food choices, and spark systemic change in how we produce and consume food — with real-time transparency, at scale.",Prague,"food transparency, AI food analysis, sustainability, nutrition tech, food tech",No funding announced yet,2025,www.foodament.com,Active,https://www.linkedin.com/company/foodament/?viewAsMember=true,Czechia
Time Slot Control,https://www.eu-startups.com/directory/time-slot-control/,Czechia,"Time Slot Control is a cloud-based platform that streamlines and automates logistics by managing carrier arrivals, reducing congestion, and optimizing loading and unloading processes. It brings real-time visibility, better communication, and increased efficiency to your supply chain operations.",,Decin,"time slot, carrier, yard management",Between €1-€100K,2024,https://www.timeslotcontrol.com/en,Active,,Czechia
10 Dots Only,https://www.eu-startups.com/directory/10-dots-only/,Czechia,"10 Dots Only is a fast-paced tap survival game where the rule is simple: don’t let the screen fill with more than 10 dots. That’s it. Sounds easy? Think again.

As dots multiply, your reflexes, timing, and decision-making are pushed to the limit. Different dot types bring different behaviors—some freeze, some poison, some teleport. And you’ll need every passive skill and upgrade to keep up.

Features:

- One Rule Gameplay: Never let the dots reach 10.
- Dot Variety: Frozen, Poison, Golden, Teleporting, and more.
- Passive Skills: Upgrade abilities like Magnet Pull, Chain Reaction, and Golden Luck.
- Tournaments: Compete in recurring events to climb ranks and earn rewards.
- Daily Quests: Complete missions to earn coins and blueprints.
- Level-Based Progression: Unlock new dot types and skills as you level up.
- Core Haptics & Sound FX: Feel every tap and explosion with satisfying feedback.


Easy to pick up. Hard to master.
Can you stay under 10?",,Prague,"game,ios,mobile",No funding announced yet,2024,https://apps.apple.com/app/10-dots-only/id6740242737,Active,,Czechia
Hello.cv,https://www.eu-startups.com/directory/hellocv/,Czechia,Build your CV Site with AI in seconds,"Create a free professional CV site and unlock new career opportunities — no coding or design hassle. Import your resume, choose a template, and let AI build a polished CV site you can instantly publish on a branded .cv domain and share across any device.
Hello CV gives you complete control — no tracking, ads, hidden data sharing and third-party interference. Your data is yours for life. You control your content, your information, and your online presence.
A .cv site helps you rank higher in search results, ensuring recruiters and clients find you easily. A branded .cv domain enhances your online visibility, giving you an edge in a competitive job market.",Praha,AI Startup,Between €1-€100K,2023,https://www.hello.cv,Active,https://www.linkedin.com/company/dotcvdomain/,Czechia
Eventee,https://www.eu-startups.com/directory/eventee/,Czechia,"Eventee is a powerful and intuitive self-service event app built to boost attendee engagement and create unforgettable event experiences effortlessly. No coding skills or tech expertise are required – with Eventee, organizers can have their event up and running in just a few clicks.","Up to this day, the vast majority of event managers still rely on spreadsheets and printed materials to manage their events and engage with attendees. Here is where our event management platform, Eventee, fills the gap. Eventee is the only self-service solution on the market aimed at first-time users, enabling them to create and publish events for hundreds of attendees without hassle.
You can share interactive programs, moderate Q&As, encourage networking, gain valuable insights into attendee behavior, and get real-time answers and feedback through Live polls. Eventee helps build a lasting community beyond the event through three key attendee channels – mobile app, web app, and event website. 
Eventee is consistently rated as one of the easiest event apps to use and a momentum leader by industry experts. Join over 10,000 event managers who rely on Eventee and achieve attendee engagement growth by up to 523.7% with our simple and immersive app.","Brno, Czech Republic","event app, conference app, event management software",No funding announced yet,2024,eventee.com,Active,https://www.linkedin.com/company/eventeeco/,Czechia
Dailysports.net,https://www.eu-startups.com/directory/dailysports.net,Czechia,"Founded in 2006, Dailysports is a leading destination for football news, analysis, and predictions. We provide the latest news, comprehensive match analysis and tips, as well as key statistics. With our content, you'll always be up to date with what's happening in the exciting world of football.",,"Praha, hlavní město, Prague","Sport, Digital Media, Football, Data Analysis, Betting, Sports Data, Gambling, Entertainment, Casino",No funding announced yet,2006,https://dailysports.net,,,Czechia
Zenamu,https://www.eu-startups.com/directory/zenamu/,Czechia,,,Prague,"booking, events, scheduling, payment",No funding announced yet,2021,http://zenamu.com,Active,https://www.linkedin.com/company/zenamu,Czechia
Bitzaro,https://www.eu-startups.com/directory/bitzaro/,Czechia,Fiat-Crypto Payment Gateway,"Bitzaro is an all-in-one crypto on-ramp platform catering to both businesses and individuals, offering secure and efficient solutions to manage digital assets. With a strong focus on accessibility, Bitzaro provides an intuitive on-ramp solution, allowing users to convert fiat to crypto effortlessly. Businesses can leverage its Bitzaro PocketAccount feature, a cloud-based digital wallet that offers security, balance tracking, and seamless integration to facilitate crypto transactions. The platform's InstaInvoice system enables businesses to generate and send invoices in cryptocurrency, simplifying global payment processing and reducing operational costs. In the near future, the Bitzaro Visa card will empower users to spend their crypto assets at any Visa-supported merchant, bridging the gap between digital and traditional finance. With seamless integration capabilities, top-tier security, and a user-friendly experience, Bitzaro is the ideal solution for those looking to enter or expand within the crypto space.",Prague,"Business, Bitcoin, Blockchain, Cryptocurrency",No funding announced yet,2023,https://www.bitzaro.com/,Active,,Czechia
Staclo.host,https://www.eu-startups.com/directory/staclo.host,Czechia,The easiest way to host your static page,"Staclo.host lets you host static HTML pages or entire applications built with popular frameworks like React, Angular, Vue, Svelte, and more. Just upload your files with a single click, and your site is instantly live—no complex setup required.
We automatically extract your files, create a custom domain, and issue an SSL certificate, even for your own domains. Want to keep your site private? Simply enable password protection, ensuring only authorized users can access it.
Track your site’s success with built-in, privacy-friendly analytics—fully compliant with GDPR, CCPA, and PECR, and requiring no cookies.
Updating your site is effortless: drag & drop a new ZIP archive, use FTP, or edit directly in the built-in web editor. Hosting has never been this simple!",Prague,"Hosting, Developer Tool, Business, Static Hosting",No funding announced yet,2024,https://staclo.host/,Active,,Czechia
Eventoly,https://www.eu-startups.com/directory/eventoly/,Czechia,Event Photo Sharing app with QR Code,,Prague,"wedding, qr code for wedding pictures, event photo sharing",No funding announced yet,2024,https://eventoly.com/,Active,,Czechia
Vectorizedbrand,https://www.eu-startups.com/directory/vectorizedbrand/,Czechia,Create your own beautiful SVG logo in minutes with our logo maker. No design skills required. Free forever.,"I built this logo maker because I wanted something simple and efficient. Designing basic logos in Figma was taking too much time, so I created a tool that makes it easy to create stunning logos and export them as clean SVG files in seconds. Best of all, it’s completely free—forever.",Prague,"Brand, Marketing, Website, Blog",No funding announced yet,2024,https://vectorizedbrand.com,,,Czechia
BidWizard s.r.o.,https://www.eu-startups.com/directory/bidwizard-sro/,Czechia,Bid Wizard is the AI native RFP Software. It reduces up to 80% of work and time when responding to RFP' due to automized answering and improved collaboration.,"BidWizard is the powerful next generation AI-driven RFP response solution that integrates seamlessly with your existing knowledge sources to deliver immediate and accurate results. With enterprise-grade security and a strong commitment to European native data privacy, BidWizard provides a safe, trusted environment for your most sensitive data. Its self-learning capabilities continuously enhance performance with each RFP, adapting to your organization’s unique preferences and requirements over time. Designed with a flat learning curve, BidWizard complements - rather than disrupts - your current RFP process, empowering your team to work smarter, not harder, without the need for extensive training or workflow changes.",Prague,"RFP Software, Request for Proposal Sofware, AI RFP, RFP Automation",No funding announced yet,2024,www.bidwizard.app,Active,,Czechia
Mi bÃºÃ°in,https://www.eu-startups.com/directory/mi-budin/,Czechia,"Mi búðin: Your one-stop shop for Xiaomi electronics, featuring vacuum cleaners, scooters, smartwatches, and more. Trade-in old devices, enjoy free shipping, and explore the latest tech innovations.","Mi búðin: Your one-stop shop for Xiaomi electronics, featuring vacuum cleaners, scooters, smartwatches, and more. Trade-in old devices, enjoy free shipping, and explore the latest tech innovations.Mi búðin: Your one-stop shop for Xiaomi electronics, featuring vacuum cleaners, scooters, smartwatches, and more. Trade-in old devices, enjoy free shipping, and explore the latest tech innovations.",Vejprty,"Microsoft Exchange Online,Content Management System,Email Hosting Service,",Between €500K-€ 1 million,2020,https://www.mii.is/,Active,https://www.linkedin.com/company/escooter-is/about/,Czechia
Blindspot Technologies s.r.o.,https://www.eu-startups.com/directory/blindspot-technologies-sro/,Czechia,"Ensuring the uninterrupted operations of your network and applications. Exceptional defense against denial of service attacks and cyber threats, backed by our expertise, advanced technology, and global infrastructure. Protecting your online assets in a rapidly changing cyber landscape. Protecting against DDoS.","Ensuring the uninterrupted operations of your network and applications. Exceptional defense against denial of service attacks and cyber threats, backed by our expertise, advanced technology, and global infrastructure. Protecting your online assets in a rapidly changing cyber landscape. Protecting against DDoS.",Malešice,Computer and Network Security,Between €1 million-€ 2.5 million,2023,https://www.blindspot.cloud/,Active,https://www.linkedin.com/company/blindspot-technologies/about/,Czechia
Talsec,https://www.eu-startups.com/directory/talsec/,Czechia,Talsec is an academic-based and community-driven mobile security company. We deliver in-App Protection and a User Safety suite for Fintechs. We bridge the gaps between the user's perception of app safety and the strong security requirements of the financial industry.,,Brno,"Computer, Network Security, FinTech",Between €500K-€ 1 million,2021,https://www.talsec.app/,Active,https://www.linkedin.com/company/talsec/,Czechia
Festapp,https://www.eu-startups.com/directory/festapp/,Czechia,"Festapp is a custom-branded mobile application designed for events, festivals, and conferences.","A mobile solution designed for both attendees and organizers of festivals, conferences, and other events. The app includes features such as a timetable, map, push notifications, and general information, administration. A customized branded version can be created for each festival. It is distinguished by its latest technology and speed to implement new branded version. It is supported by Flutter, Supabase, and smart git branching.",Ostrava,"Event organizer, Navigating, B2C, B2B, Internet",Between €100K-€500K,2023,https://www.festapp.net/,Active,,Czechia
Plantee Innovations,https://www.eu-startups.com/directory/plantee-innovations/,Czechia,"Selling mid to high-end devices & accessories, marketplace fees and app subscriptions through online & offline channels. Our flagship is Plantee, the most advanced smart indoor greenhouse ever made, capable of controlling all the plant growing conditions. Plantee – All-in-one smart greenhouse providing full control of growing conditions.",,Prague,"Consumer Electronics, Home, Garden Store, Smart Gardening Devices",Between €100K-€500K,2021,https://plant.ee/,Active,https://www.linkedin.com/company/planteeinnovations/,Czechia
