name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,linkedin,country,companyStatus
NULIX,https://www.eu-startups.com/directory/nulix/,Croatia,"Secure embedded Linux Operating System with companion platform, offering automated or scheduled delta Over-The-Air updates for entire fleet of devices, along with comprehensive device management and metrics capabilities — all designed to support modern containerized application deployment in isolated environments. Focus on your apps, not on embedded device infrastructure.",,Varaždin,"Software Development, Robust build, Deployment infrastructure",Between €100K-€500K,2018,https://nulix.hr,https://www.linkedin.com/company/nulix-tech/,HR,Active
ELNAV.AI,https://www.eu-startups.com/directory/elnavai/,Croatia,"ELNAV.AI develops AI-driven intelligent safety systems for the maritime industry, enhancing navigation safety through speech recognition, emotion detection, and fatigue monitoring. Our two flagship products, Helm Order Monitor and Aware Mate, use advanced AI and sensor fusion to improve decision-making, reduce human error, and prevent fatigue-related accidents at sea​. We prevent maritime accidents with intelligent human monitoring.",,Split,"Maritime safety, Automatic Speech Recognition, Speech Emotion Recognition, Video detection,",Between €500K-€ 1 million,2021,https://elnav.ai,https://www.linkedin.com/company/elnavai/,HR,Active
DeepQ,https://www.eu-startups.com/directory/deepq/,Croatia,"Artificial Intelligence today, for better tomorrow. Making the best deepfake media detection out there. Our work centers on pushing AI boundaries in voice synthesis and deepfake detection.",,Osijek,"B2B, B2G, AI, Technology",Between €100K-€500K,2021,https://deepq.io/,https://www.linkedin.com/company/deepqtv,HR,Active
Secnap,https://www.eu-startups.com/directory/secnap/,Croatia,"Secnap provides cutting-edge cybersecurity services designed to protect businesses from evolving digital threats. With AI-powered threat detection, 24/7 monitoring, and the CloudJacket MDR platform, Secnap delivers proactive security solutions, including vulnerability assessments, compliance management, web app protection, and employee training. Tailored to businesses of all sizes, Secnap ensures robust, scalable security backed by expert threat intelligence.","Secnap is a leading provider of advanced cybersecurity solutions, offering comprehensive protection for businesses of all sizes. Specializing in AI-powered threat detection, Secnap provides 24/7 monitoring and proactive security through its CloudJacket MDR platform, ensuring rapid identification and response to potential threats. Their services include vulnerability assessments, compliance management for industry regulations (e.g., HIPAA, PCI-DSS), web application security, dark web monitoring, and security awareness training for employees.
Secnap’s expert-driven approach combines cutting-edge technology with deep industry knowledge, delivering tailored security strategies to safeguard critical data and systems. Whether it's defending against cyberattacks, ensuring compliance, or educating employees on the latest threats, Secnap empowers businesses to stay secure, resilient, and compliant in today’s increasingly complex cybersecurity landscape. Their focus on scalable solutions and real-time protection ensures that businesses can confidently navigate the ever-evolving digital world.",Secnap,Cybersecurity,Between €500K-€ 1 million,2004,http://secnap.com,https://www.linkedin.com/company/secnap-network-security,HR,Active
SMART-IT,https://www.eu-startups.com/directory/smart-it/,Croatia,"ICT, consult, design, marketing, profiling, recruitment, teach STEM","SMART-IT was opened 2020 and doin great stuff. After 4 years we decided to take a break and now we are open to work.
My name is Tomislav Novaković, 29.03.1979. Owner and manager",Zagreb,"ict consult, marketing, networking",No funding announced yet,2020,https://www.facebook.com/tnovako3/,,HR,Idea Stage
SellerPic,https://www.eu-startups.com/directory/sellerpic/,Croatia,"SellerPic is an AI-powered platform that simplifies the process of creating professional product visuals for e-commerce businesses. By transforming a single product photo, SellerPic generates high-quality marketing assets, including realistic lifestyle images, customizable model shots, and dynamic short-form videos. The platform streamlines content creation for businesses of all sizes, allowing them to focus on growth while reducing time and costs associated with traditional photo shoots and editing. Whether for product listings, social media, or advertising campaigns, SellerPic provides a quick and effective solution to enhance product presentation and boost engagement.","SellerPic is an innovative AI-powered platform revolutionizing the way e-commerce businesses create and showcase their product content. By leveraging cutting-edge artificial intelligence, SellerPic transforms a single product photo into a wide array of high-quality marketing assets, including stunning lifestyle scene images, professional model shots, and dynamic short-form videos. This eliminates the need for expensive photo shoots, time-consuming edits, and complex content creation processes.
The platform is designed to make it easy for businesses of all sizes to enhance their product presentation without the need for specialized knowledge or equipment. SellerPic’s AI-powered lifestyle scene generation seamlessly integrates products into realistic and diverse environments—from cozy home settings to outdoor landscapes and trendy cafés—perfect for highlighting a wide range of products.
SellerPic also offers powerful customization tools for generating model shots, allowing users to tailor attributes such as skin tone, body type, clothing, and poses to resonate with their specific audience. Whether selling fashion, accessories, or tech products, businesses can create inclusive, appealing visuals that accurately represent their brand identity.
In addition, SellerPic automatically generates attention-grabbing videos from static product photos. These short-form videos are optimized for social media platforms like TikTok, Instagram Reels, and YouTube Shorts, featuring smooth transitions, animations, and effects to create engaging content that drives online sales and boosts brand visibility.
What sets SellerPic apart is its ability to produce professional-grade visuals with minimal effort and no expertise required. With a user-friendly interface and fast processing times, SellerPic empowers e-commerce businesses to efficiently create high-conversion, high-quality visuals, whether for product listings, social media campaigns, or ads. The platform not only simplifies the visual content creation process but also helps businesses reduce costs, save valuable time, and accelerate their marketing efforts.
SellerPic is the ultimate tool for anyone looking to stand out in the competitive e-commerce landscape, providing a faster, more cost-effective, and scalable way to produce exceptional product imagery and videos. Whether a small business looking to enhance online presence or a large retailer looking to streamline content creation, SellerPic is an essential resource for elevating product visuals and driving e-commerce success.",Singapore,"AI-powered visuals, product photography, e-commerce content",Between €500K-€ 1 million,2024,https://www.sellerpic.ai/,,HR,Active
NEUROFIT,https://www.eu-startups.com/directory/neurofit/,Croatia,The NEUROFIT App is a minimalist performance-first wellness app for busy professionals. Our average active app user reports 54% less stress after just one week.,"The NEUROFIT App is a minimalist performance-first wellness app for busy professionals. Our average active app user reports 54% less stress after just one week.
Our breakthrough approach targets the nervous system directly, with daily body check-ins, habit tracking, biometric scans through your phone's camera. As you use the app, it customizes somatic exercises and AI Coaching sessions to your unique nervous system profile. In this way, we reduce your stress baseline as quickly as possible.
To date, we’ve supported 60K users in 100 countries, and trained over 500 health professionals (doctors, therapists, health coaches etc) in our breakthrough Nervous System Fitness® method.","Zagreb, Croatia","mental health, wellness, employee wellness, productivity",Between €100K-€500K,2020,https://neurofit.app,https://www.linkedin.com/company/neurofit-app/,HR,Active
Foreverolimus,https://www.eu-startups.com/directory/foreverolimus/,UK,,,London,"Longevity, Biohacking, rapamycin",No funding announced yet,2024,www.foreverolimus.com,,UK,Active
Interview Monkey AI,https://www.eu-startups.com/directory/interview-monkey-ai/,Croatia,Interview Monkey AI is an AI-powered coding interview copilot,"Interview Monkey AI is an AI-powered coding interview assistant designed to help software engineers, data engineers, and data scientists ace LeetCode-style coding and system design questions, specifically targeting those aiming for FAANG companies like Facebook, Amazon, Google, etc.",Sample,Finance,No funding announced yet,2024,https://interviewmonkey.ai/,,HR,Active
TinkTide,https://www.eu-startups.com/directory/tinktide/,Croatia,"Transform initial thoughts into business actions. For startup founders, business owners and wantrepreneurs.",,Zagreb,"entrepreneur, small business, startup, market research, business idea, business plan, pitch deck",No funding announced yet,2024,https://tinktide.com/,https://www.linkedin.com/company/tinktide,HR,Active
Qubinets,https://www.eu-startups.com/directory/qubinets/,Croatia,Qubinets is an all-in-one self-service platform that enables developers to build and deploy backend infrastructure in a few clicks.,"Qubinets is an all-in-one developers' self-service platform designed to simplify the process of building and deploying backend infrastructure on any cloud without needing DevOps expertise. It allows developers to work in their preferred programming languages or frameworks (such as Python, Java, or Node.js) and integrates infrastructure directly into their code.",Zagreb,"data infrastructure, cloud, SaaS",Between €500K-€ 1 million,2023,https://qubinets.com/,,HR,Active
Data Context,https://www.eu-startups.com/directory/data-context/,Croatia,"DATA CONTEXT is a revolutionary technology that extends relational and analytical platforms to new heights. It streamlines the ever-growing complexity of data platforms, which no longer only need automated databases but an extended and complex platform that includes all that now goes with it—enterprise data architecture, data governance, data engineering, visualization, and, of course, AI. Thus, it reduces all that complexity into a manageable, smaller set of management contexts...ideally, ONE!","DATA CONTEXT
Enabler of efficient data management
THE CHALLENGE
Today’s data management is complex. Companies are increasingly data-driven, relying on data insights in decision-making. Many productionize those insights into their own software-as-a-service (SaaS) products. Speed in delivering those insights and products is critical, it directly affects companies’ success, their revenue, cost, and market share. We no longer talk simply about managing data in a database - we talk about managing entire data platforms, which includes other tools that integrate with the database, providing capabilities for data orchestration, ingestion, transformation, governance, stewardship, protection, analytics, science, machine learning, artificial intelligence, and others. Tools and technology market in these areas collectively is around $20 Billion in 2023, with a compound average growth rate (CAGR) of around 20%. This obviously indicates market commitment to data management, where even relatively modest improvements in integration of these tools could mean billions in additional realized revenue.
SINGLE CONTEXT
“Talking” to data had been a struggle until the introduction of standard query language (SQL) some decades ago, as part of database relational technology. Now, SQL is truly standard and widespread - there is hardly a company or software product that does not leverage its capabilities of working with data. Data Context leverages this power and extends the SQL language to work with the entire data platform - this in a way that is simple, intuitive, and adoptable, posed to replicate or surpass the original revolutionary success of SQL.
TECHNOLOGY
Data Context is both a technology and a family of products. Development of products and advancements in technology go hand in hand, without blocking each other, but with mutual leverage across the two. The technology areas include language, grammar and standardization, code generation, proprietary-to-open-source integration, business impact research, data governance automation, and others. Such research may advance the products significantly, all phases of product development, and it can generate several research publications that would not only advance science but also promote the products. The intellectual property (IP) would be properly protected by US and European patents.
MONETIZATION
Data Context may be monetized as a solution via products, as a technology via IP, and as a company via the stock market, with potential exits via acquisitions. From the company's perspective, as the surface area is enormous, an optimal approach is to evolve into a world-class technology company in the data management space, with an initial valuation of over $1 Billion, making it a “unicorn” startup, and a steady growth to become and remain a world leader.
For further information, please contact the founder, Farid Mehovic at [email protected] or at +18585312201.",Rijeka,"data, platform, management, enabler",No funding announced yet,2024,datacontext.net,https://www.linkedin.com/in/faridmehovic/,HR,Idea Stage
Bikademy,https://www.eu-startups.com/directory/bikademy/,Croatia,"Bikademy is a multi-layered solution encouraging cycling and mobility-related CO2 savings in cities and regions with popular tourist destinations, with an aim to go beyond sustainable tourism and also encourage the city residents and employees to cycle every day. 

The core of Bikademy is an existing mobile app, designed to promote cycling as a sustainable mode for visiting cultural and natural heritage sites, with an inbuilt incentive programme. This feature is already in use and covers 15 destinations with over a 2.500 users. 

That features has:
• Studies that represent wider regions or cities
• Exams represent micro locations in those regions or cities (sights in cities or regions)
Cyclists need to choose their Study and cycle to all of the predefined Exams in that Study. Usually there are around 7 Exams per Study with not only well-known locations, but also those off-the-beaten-path. After they use an app to do a check-in on each Exam, they get a cycling reward.

The other feature ""Challenges"" is more suitable to encourage behavioural changes of tourists/city residents/ employees, focusing on CO2 emission savings. Feature covers all kind of cyclists – commuters, leisure cyclists and experienced cyclists, and rewards the best ones. This solution has option for companies to encourage their employees to cycle to work, and municipalities encouraging their residents to cycle every day. 

There are also two subcategories (Special Studies and Special Challenges) made for events, suitable for companies and municipalities.",,Slavonski Brod,"bicycle, cycling, tourism, mobility",Between €1-€100K,2022,https://bikademy.com/,https://www.linkedin.com/company/bikademy,HR,Active
MVT Solutions,https://www.eu-startups.com/directory/mvt-solutions/,Croatia,"Is an advanced digitalization platform designed to effortlessly automate boring and time-wasting processes, eliminating restrictive platform lock-ins.",,Zagreb,"AI, Digitalization, SaaS",Between €1 million-€ 2.5 million,2019,https://www.iotaap.io/,https://www.linkedin.com/company/iotaap,HR,Active
Tensorpix,https://www.eu-startups.com/directory/tensorpix/,Croatia,Online AI video and image quality enhancer.Enhance video and image quality in less than 3 minutes. No installation needed.,,Zagreb,AI,Between €10 million-€25 million,2020,https://tensorpix.ai/,https://www.linkedin.com/company/tensorpix,HR,Active
SpectreXR,https://www.eu-startups.com/directory/spectrexr/,Croatia,"We are building a complete physics-based hand interaction framework that solves the problem of simulating realistic grabbing, UI interaction, locomotion.",,Valpovo,BigData,Between €500K-€ 1 million,2016,https://spectrexr.io/,https://www.linkedin.com/company/spectre-vision/,HR,Active
Rearm,https://www.eu-startups.com/directory/rearm/,Croatia,"At Rearm, our mission is to redefine technology through groundbreaking low-code solutions. Based in Croatia, the company is committed to innovation and pushing the boundaries in the world of robotics and computer science.",,Zagreb,"AI, Education, Robotics",Between €100K-€500K,2020,https://rearm.co/,https://www.linkedin.com/company/rearmcompany/,HR,Active
Naverix.io,https://www.eu-startups.com/directory/naverixio/,Croatia,"In collaboration between Eureka Marine Consultants, Intellego and RIS, we have used 40+ years of expertise from Shipping & IT each to create novelty.",,Rijeka,SaaS,Between €5 million-€10 million,2022,https://naverix.io/,,HR,Active
Postaj,https://www.eu-startups.com/directory/postaj/,Croatia,"Postaj operates on a dual-sided platform model, connecting homeowners and businesses with a wide range of home service providers, from basic repairs to complete renovations. Our technology optimizes personalized service matching, ensuring clients find the right service provider for their specific needs efficiently. Revenue streams include recurring subscriptions from service providers, fees from large project postings, and partnerships with financial institutions for integrated financing options.",,Zagreb,"Software Development, Computer Company, Financial",Between €100K-€500K,2023,https://postaj.app/,https://www.linkedin.com/company/postaj-app/,HR,Active
PlaySafety Systems,https://www.eu-startups.com/directory/playsafety-systems/,Croatia,"PLAYSAFETY Platform is an equipment safety management software that helps playing & sports equipment operators reduce the risk of injuries by evaluating, tracking and improving the condition of playground & sports equipment to enhance visitors experience and meet legal safety standards. Backed by leading institutions and VCs our startup is striving to create an impact in communities across the globe as well as safer environments for children and youth worldwide.",,Zagreb,"Computer Software, SaaS, Web Application, IT Services",Between €100K-€500K,2022,https://playsafety.eu,https://www.linkedin.com/company/playsafety-systems/,HR,Active
NatureSafe Marine,https://www.eu-startups.com/directory/naturesafe-marine/,Croatia,Sustainable & biodegradable cleaning solutions for the yachting industry with a revolutionary new sachet powder form to stop single use plastic and keep the same bottle for life. On a mission to offer an eco-friendly and safe way to clean boats and yachts without compromising the marine ecosystem. Our goal is to protect the ocean we love and to help build a more sustainable future.,,Split,"Cleaning Service, Yachting , Marine Life , Sustainability",Between €100K-€500K,2021,https://naturesafemarine.com,https://www.linkedin.com/company/naturesafemarine/,HR,Active
Insidico,https://www.eu-startups.com/directory/insidico/,Croatia,"Insidico is SaaS tool for small and medium sized construction companies. Construction companies can track all of their financial data, documentation and information about their projects, employees, vehicles and machinery. They can collect and analyze all data on one place.",,Osijek,"Software Development, SaaS, Financial Data",Between €100K-€500K,2022,https://insidico.com,https://www.linkedin.com/company/insidico/,HR,Active
Reducos Software,https://www.eu-startups.com/directory/reducos-software/,Croatia,"Our solution is a specialized platform for facilitation of development and scaling of short chains, designed specifically to help small producers sell to their customers and manage their operations in one place.","Plodie is focused on empowering the Short Food Supply Chain (SFSC) through its innovative Software as a Service (SaaS) platform. This platform is designed to assist various participants in the SFSC, including producers, farmers markets, and direct consumer deliveries. It offers comprehensive solutions for managing inventory, ensuring traceability, optimising logistics, and enhancing communication. The goal of Plodie is to streamline operations, reduce expenses and waste, increase productivity, and deliver exceptional value to customers, thereby fostering a thriving SFSC ecosystem. For more information, you can visit our website Plodie.com",Osijek,"short, food, chain, logistics",Between €100K-€500K,2019,https://plodovi.hr/,https://www.linkedin.com/company/plodie/,HR,Active
GPTs Finder,https://www.eu-startups.com/directory/gpts-finder/,Croatia,"GPTs Finder is the largest, constantly updated directory of the latest GPTs. We publish high-quality GPTs for public access, allowing searches by keywords or categories. Currently, we have published over 4000 GPTs, with new updates every few hours.","GPTs Finder stands as the most expansive and regularly updated directory of the newest GPTs models, which are created every minute. Our mission is to make high-quality GPTs widely accessible to the public. Users can easily search through our extensive collection using keywords or by browsing different categories. As of now, our database boasts over 4000 published GPTs. To ensure the most up-to-date information, we frequently update our database, adding new GPTs every few hours. This commitment ensures that users always have access to the latest advancements in GPT technology. Soon we will publish voting system and user reviews & comments.",Zagreb,"AI, GPTs, Artifical Inteligence, Directory, Search Engine",No funding announced yet,2023,https://gptsfinder.net,,HR,Active
GiveNGet,https://www.eu-startups.com/directory/givenget/,Croatia,"GiveNGet is a unique and fun exchange platform that uses advanced technologies to connect users who match their offers and wishes. Offer what you want to exchange, make a list of your wishes, and simply - exchange!","GiveNGet is more than just an exchange platform; it's a vibrant community where people come together to help each other while utilizing cutting-edge technology.
What can you expect from the new GiveNGet platform?
Simple Exchange: Say goodbye to unnecessary clutter and discover something new for yourself in just a few steps, without spending money.
Connect with People: Meet new individuals and build strong relationships through shared exchanges.
Detailed Ad Descriptions: Provide detailed descriptions of your items, complemented by additional filters, so that other users know exactly what to expect.
User Ratings: Trust the ratings from fellow users to make informed decisions about exchanges.
Enhanced Matching: We've upgraded our technology to connect you with the best offers.
Whether you're looking for something specific, want to offer your skills, or wish to see what's available for your items, our platform makes all of this easy and efficient.",Split,"exchange, platform, community, circulareconomy",No funding announced yet,2021,ugivenget.com,https://www.linkedin.com/company/ugivenget/,HR,Active
QueryStorm,https://www.eu-startups.com/directory/querystorm/,Croatia,"QueryStorm is a development and data processing plugin for Excel. It offers SQL and C# support in Excel, making it much easier for tech people to interact with data in spreadsheets. 

It sports an advanced IDE with all the features you might expect from a modern code editor: auto-complete, syntax and error highlighting, documentation tooltips, code formatting etc.",,Split,"IT, Market Research, Software",Between €100K-€500K,2023,https://querystorm.com,,HR,
SnapAndSolve,https://www.eu-startups.com/directory/snapandsolve/,Croatia,Take a photo of the questions you'd like to find answers to.,"With SnapAndSolve, you can simply take a photo of any question and receive instant, accurate answers to assist you with homework, exams, and quizzes across a wide range of subjects.
Give it a try, and leave us feedback.",Zagreb,"education, mobile, photography, problem solver",No funding announced yet,2023,https://www.snapandsolve.com/,,HR,
SWEN,https://www.eu-startups.com/directory/swen/,Croatia,"SWEN is an all-in-one management and booking platform made to fit the specific needs of campsites and
campsite administrators. It offers its users a set of advanced functionalities and automated processes that simplify the process of handling guests - from the initial booking request, through their stay at the
camp and all the way to checkout.",,Zagreb,"TravelTech, B2B SaaS, B2B, Hospitality",No funding announced yet,2022,https://www.bornfight.com/work/swen/,,HR,
TABU,https://www.eu-startups.com/directory/tabu/,Croatia,"TABU is a platform that openly shows salaries in the IT industry. It makes it easy for employees to negotiate salaries, and employers to monitor their competitiveness.

TABU compares salaries for all IT positions — from developers and designers to product managers and marketers. It allows each employee and employer to find out how much people are paid to do the same or similar work.",,Zagreb,"HRTech, Salaries, Transparency, Impact",Between €1-€100K,2022,https://www.tabu.hr/,,HR,
Insidico,https://www.eu-startups.com/directory/insidico/,Croatia,"Insidico is SaaS tool for small and medium sized construction companies. Construction companies can track all of their financial data, documentation and information about their projects, employees, vehicles and machinery. They can collect and analyze all data on one place.",,Osijek,"Software Development, SaaS, Financial Data",Between €100K-€500K,2022,https://insidico.com,https://www.linkedin.com/company/insidico/,HR,Active
FIRA Solutions,https://www.eu-startups.com/directory/fira-solutions-d-o-o/,Croatia,FIRA is the digital CFO for craftsmen and small companies (but as well all others) in Croatia and the first Croatian Fintech where you can connect all your bank accounts and get the full overview of all your banking transactions in one place. FIRAs vision is to become the app of choice for financial management for SMEs in south-east Europe.,,Zagreb,"invoicing, banking, small-business",No funding announced yet,2022,https://fira.finance/,,HR,
GameBoost,https://www.eu-startups.com/directory/gameboost/,Croatia,"GameBoost provides game-related services such as Elo Boosting, Coaching, and Account Selling. Global marketplace for gaming services such as elo boosting, coaching, account trading and more.
Co. We provide high quality elo boosting, for the cheapest price, at the highest speed.",,Zagreb,"Consumer Services, Gaming Marketplace, Global Gaming Services",Between €1 million-€ 2.5 million,2022,https://gameboost.com/,https://www.linkedin.com/company/gameboost-eu/,HR,Active
EUDoctor,https://www.eu-startups.com/directory/eudoctor/,Croatia,"Online doctor consultation, sicknote and prescription. EUDoctor app provides online doctor consultations, issuing prescriptions and sick note. Affordable, convenient care by phone or video. Online doctor consultations. With our mobile app, the doctor is just a click away.","Online doctor consultation, sicknote and prescription. EUDoctor app provides online doctor consultations, issuing prescriptions and sick note. Affordable, convenient care by phone or video. Online doctor consultations. With our mobile app, the doctor is just a click away.
Visit us on eudoctor.org or search for EUDoctor app on all app stores.",Čavle,"Online doctor, prescription, doctor consultation",No funding announced yet,2022,eudoctor.org,,HR,
Loqa Media,https://www.eu-startups.com/directory/loqa-media/,Croatia,"In 2022, Modern Media Agency was created. providing all of your FAQs.Modern media company Loqa Media was established in 2022. Every month, we respond to questions from more than 100,000 readers.",,Varazdin,"modern media, delicious food, tech insight center",No funding announced yet,2022,https://loqamedia.com/,,HR,
TriCor,https://www.eu-startups.com/directory/tricor/,Croatia,TriCor enables non-invasive cardiology diganostics that was so far available only in hospitals to become your every day wearable.,"TriCor Cardio Explorer is multifunctional wearable consumer health device encompassing cardiovascular risk assessment, collection of high value biometrical inputs, prediction of cardiovascular events and individual hypertension management. TriCor will change how consumer and medical level cardio diagnostics and monitoring are conducted in the future. It will provide sensitive and effective solutions for cardiovascular disease prevention, cardiac risk monitoring and early detection of acute cardiac events in real-time settings. TriCor team has a shared passion to transform the modern consumer level medical grade device landscape and the way it interacts with the medical ecosystem and it is led by top experts with decades of cumulative experience both on the medical and technological sides of the company.",zagreb,"non-invasive, cardiology, diganostics",No funding announced yet,2021,https://www.tricor-medical.com/,,HR,
Bizarro Fintech Solutions,https://www.eu-startups.com/directory/bizarro-fintech-solutions/,Croatia,"Bizarro uses AI to support banks in their credit risk management. They recognize and categorize transactions in less than a second. With their algorithms, they predict where the money from credit placement will be spent, and how it is gonna be returned.",,Rijeka,"Banking, FinTech, Software",Between €1-€100K,2021,https://www.bizarrofintech.com/,,HR,
meloot,https://www.eu-startups.com/directory/meloot/,Croatia,Meloot is a video-based e-commerce marketplace. MeLoot operates an e-commerce platform that features video advertisements. Its platform attracts customers by providing a video advertisement instead of conventional picture listings.,,Zagreb,"B2C, E-Commerce, Marketplace",Between €1-€100K,2021,https://www.meloot.com/,,HR,
PitchSee,https://www.eu-startups.com/directory/pitchsee/,Croatia,"The new marketplace for Startups & Investors. All investment opportunities are now at one place. Startups can present their projects completely free of charge, be seen by investors worldwide & connect with them directly. Finally, investors can simply swipe through projects presented as straight-to-the-point video pitches, fast & easy. No more wasting time & money at PitchSee, a place where passion meets support.",,Zagreb,"Financial Services, Angel Investors, Marketplace, Venture Capital",Between €500K-€ 1 million,2021,https://pitchsee.com/,https://www.linkedin.com/company/pitchsee,HR,Active
