name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin,longBusinessDescription
CamoCopy,https://www.eu-startups.com/directory/camocopy/,Luxembourg,A european ChatGPT alternative. Empowering individuals and organizations with privacy-first and open source generative AI. Hosted in the EU for full data sovereignty and GDPR compliance.,Luxembourg,"artificial intelligence, productivity, privacy",No funding announced yet,2024,https://www.camocopy.com,Active,LU,https://www.linkedin.com/company/camocopy/,
TraceCrystal,https://www.eu-startups.com/directory/tracecrystal/,Luxembourg,"We provide unique, unclonable and untransferable artificial fingerprints for physical items, that allow proof of authenticity.",Luxembourg,"AI, Manufacturing, Supply Chain Management",No funding announced yet,2024,www.tracecrystal.com,Active,LU,,
FabstWines,https://www.eu-startups.com/directory/fabstwines/,Luxembourg,"At Fabstwines, we believe that every wine deserves its perfect match. That's why we've created a one-of-a-kind B2C platform that connects wine enthusiasts with their ideal vino. With our edutainment approach.",Luxembourg,"E-Commerce, Lifestyle",Between €5 million-€10 million,2023,https://www.fabstwines.com/,Active,LU,https://www.linkedin.com/company/fabstwines/about/?viewAsMember=true,
Diversified,https://www.eu-startups.com/directory/diversified/,Luxembourg,"Invest in rare and profitable goods such as wine, whiskey, watches, bags and works of art.",Luxembourg,Fintech,Between €2.5 million-5 million,2022,https://www.diversified.fi/,Active,LU,https://www.linkedin.com/company/diversifiedfinance,
CodeClarity,https://www.eu-startups.com/directory/codeclarity/,Luxembourg,"CodeClarity helps enhance product security and reduce cybersecurity costs, helps prioritize active development as well as increase license compliance, across all languages, all made possible by using our innovative plugin system.",Luxembourg,"Cybersecurity, SaaS",Between €5 million-€10 million,2023,https://www.codeclarity.io/,Active,LU,https://www.linkedin.com/company/codeclarity/,
BeyondEx,https://www.eu-startups.com/directory/beyondex/,Luxembourg,BeyondEx is redefining data analytics with AI-driven geospatial intelligence.,Luxembourg,"AI, Geospatial, Telecommunications",Above €25 million,2023,https://www.beyondex.space/,Active,LU,https://www.linkedin.com/company/beyondexspace,
invitrolize,https://www.eu-startups.com/directory/invitrolize/,Luxembourg,Our in vitro model allows for the first time the identification and differentiation of respiratory sensitizers and respiratory irritants under air-liquid interphase realistic exposure conditions.,Luxembourg,"Health, Life Sciences",Between €1-€100K,2021,https://invitrolize.com/,Active,LU,https://www.linkedin.com/company/invitrolize,
Ãerd Lab,https://www.eu-startups.com/directory/aerd-lab/,Luxembourg,3D PRINTING CLAY CITY,Bettembourg,"3D Printing, Manufacturing, Sustainable Construction",Between €100K-€500K,2021,https://aerdlab.com/,Active,LU,https://www.linkedin.com/company/%C3%A4erd-lab/,
SpaceRadar,https://www.eu-startups.com/directory/spaceradar/,Luxembourg,"SpaceRadar is a platform that helps users plan missions to the moon, and easily determine the best vehicles and services for their payload. We want to help primarily non-space actors get a sense of what are the options and the most suitable transport solutions for their mission goals. Our tool allows users to input their payload configuration and then query our database for the best rovers/landers that fit their requirements.",Luxembourg,"Space Research, Technology, Sustainable",Between €100K-€500K,2023,https://spaceradar.io,Active,LU,https://www.linkedin.com/company/spaceradar/,
NexusOps,https://www.eu-startups.com/directory/nexusops/,Luxembourg,"NexusOps offers a complete digital workflow solution for vehicles and assets, providing standardized workflows, full visibility, and real-time engagement through IoT and telematics technology.",Luxembourg,"eCommerce, Microsoft Exchange Online, Internet, B2C",Between €100K-€500K,2023,https://www.nexusops.io/,Active,LU,https://www.linkedin.com/company/nexusops/,"NexusFleet by NexusOps is the next generation in fleet management focused on return process automation, software designed to keep workflows, documents, and communication between Owner/Operators, Workshops, Assessors, Insurers, and Fleet Operators in Rental, Leasing, and Second-Hand market in a single workspace.
NexusOps aim to become an all-inclusive fleet and asset management solution, regardless of the type of asset, providing standardized workflows, complete visibility, and real-time engagement through accessible communication between all parties and using technology such as IoT and telematics."
morfin.io,https://www.eu-startups.com/directory/morfinio/,Luxembourg,"Morfin.io stands out with its AI-enhanced approach to gamification, transforming traditional learning and engagement processes into compelling, interactive experiences. By intelligently analyzing content, it creates customized, gamified activities that make learning both fun and effective. This platform caters not just to educational institutions but also to businesses seeking innovative ways to engage employees and customers.",Gare,"AI, Games, Puzzle, Play",Between €100K-€500K,2019,https://morfin.io,Active,LU,,
DogStays,https://www.eu-startups.com/directory/dogstays/,Luxembourg,"DogStays helps match dog parents and dogs to the right dog sitter and environment for 1-1, personalized home care suited to each dog's unique needs.",Luxembourg,"pet care, recommendation engine, dog sitting",No funding announced yet,2019,https://www.dogstays.lu/,Active,LU,https://www.linkedin.com/company/dogstays,"At DogStays we help dog parents find personalized, 1-1 care for their dogs in the right home environment. We match dogs with dog sitters based on over 10 criteria, guaranteeing a perfect fit for every pup. DogStays not only recommends the right dog sitter and environment for each dog’s unique needs but we also help dog parents quickly and easily book these services. With DogStays, dog parents can confidently go about their day knowing that their dogs are receiving the highest quality care possible. Whether they are traveling, running errands, or attending personal commitments, DogStays eliminates the time and stress of finding suitable care for their dogs.
With DogStays, dog parents can rest assured that their fur babies are in the capable hands of verified and experienced dog sitters. Each member of our community undergoes a rigorous 3-step verification process, meticulously designed to guarantee utmost safety and reliability.
On the other side, DogStays offers an ever growing community of dog lovers the opportunity to not only spend time with dogs at their convenience, but also contribute to the financial well being of their families. Dog sitters in our community include a wide demographic of individuals and being a dog sitter with DogStays means a fulfilling opportunity to earn while making a difference to the lives of dogs and dog parents."
Nutri-bay.com,https://www.eu-startups.com/directory/nutri-bay.com,Luxembourg,"Designed by athletes for athletes, nutri-bay.com is a board space and sales of sports nutrition products dedicated to endurance sports (Running, Half Marathon, Marathon, Trail, Triathlon, Cycling, Mountain biking, swimming).",Steinfort,"Sport, Nutrition, endurance, platform",No funding announced yet,2017,https://www.nutri-bay.com/,Active,LU,https://www.linkedin.com/company/72696102,"Our mission, to guide you in your choices, depending on the sport, the duration of your effort, your goals, to offer
solutions tailored to your specific needs.
Discover our blog for information and exchange dedicated to the practice of endurance sports. Every day, new items, professional sports testimonials and enthusiasts, nutritionists advice, photos, news, calendar of events and more!
Finally, discover our online store with the widest choice of web from the reference marks (Maurten, High5, POWERBAR, CLIFBAR, NEVERSECOND, NAAK, BAOUW, GOLDNUTRITION, etc.). You will find energy drinks, energy bars, energy gels and other foods to effectively support and improve your performance."
BigBro.AI,https://www.eu-startups.com/directory/bigbroai/,Luxembourg,"BigBro.AI gives football coaches the full picture
BigBro.AI is an innovative company using artificial intelligence and mathematics to provide football coaches and analysts all the data every football expert craves, and using artificial intelligence BigBro.AI gives clubs and academies comprehensive analytics on players’ fitness, technical and tactical performance, and without having to use invasive wearable sensors. By just installing cameras, coaches and analysts can gain all the data a specialist requires to improve performance. 
“Our mission is to leverage AI and deep technology to revolutionise football analytics, providing coaches and match analysts with a comprehensive set of data and statistics, and enhance their players and team’s performance. All through an easy-to-use, intuitive, and cost-effective solution” said Tikhon Fiseyskiy, CEO and founder of BigBro.AI. ""Since the data is collected from video, we have made it possible to view highlights for the desired actions and immediately apply the results, the distance between the players, the speed at that moment, all these things are calculated and explained"".
BigBro.AI’s neural network requires only video footage to provide comprehensive data and metrics on players and teams. With no need for wearable sensors, the solution is highly cost-effective and minimally intrusive. Coaches simply install cameras to capture training and matches, and then upload the footage to BigBro.AI’s cloud platform to receive a full analysis with key performance indicators. The value of this information to football clubs and academies is immeasurable, and the company’s founders predict that BigBro AI’s technology will have a huge impact on the development of young players at all levels of the game.
This innovative start-up already works with football clubs and academies from Europe, Latin America and the Middle East, BigBro.AI aims to give coaches around the world the tools to make data-driven decisions and gain a competitive edge. By leveraging AI and machine learning, BigBro.AI is transforming how football teams evaluate and improve performance.

About BigBro.AI 
BigBro.AI is an AI company created by two passionate football-loving mathematicians, who believe combing maths and sports, can work wonders, just like Moneyball! BigBro.AI’s neural network uses computer vision and video tracking to analyse footage of training sessions and matches, delivering insights on fitness, technical skills, tactics, and team dynamics, everything aprofessional club or academy could want, but at an ease of use, and cost that is suitable and affordable to everyone.",Luxemburg,"football analytics, AI",No funding announced yet,2023,https://bigbro.ai,Active,LU,,
LetzPaws,https://www.eu-startups.com/directory/letzpaws/,Luxembourg,"LetzPaws is a dynamic app connecting pet owners with a wide range of pet service providers. It simplifies the process of finding, booking, and managing pet care services. The platform caters to various needs, from grooming and walking to veterinary services. Designed to enhance convenience and reliability, LetzPaws aims to revolutionize the pet care industry by offering a user-friendly interface and fostering a community of trusted providers and pet enthusiasts.",Luxembourg,"Pet Services, App Booking, Pet Care, Service Provider Network",No funding announced yet,2023,https://letzpaws.com,Active,LU,https://www.linkedin.com/company/letzpaws,"LetzPaws is an innovative app designed to revolutionize the pet care industry by connecting pet owners with a comprehensive range of service providers. Our platform simplifies the search and booking process for pet-related services, including grooming, walking, training, daycare, boarding and veterinary care. LetzPaws stands out with its user-friendly interface, a commitment to quality, and a focus on building a trusted community. Our goal is to provide pet owners with peace of mind and convenience while supporting service providers in expanding their client base and streamlining their operations. We are dedicated to enhancing the pet care experience for everyone involved, fostering a closer, more connected pet-loving community."
Socially.lu,https://www.eu-startups.com/directory/socially-a-saas-based-social-network/,Luxembourg,"Start your own community platform with a powerful web app & 2 native iOS, Android apps in matter of days.",Luxembourg,"social network,saas",No funding announced yet,2023,https://socially.lu,Active,LU,https://www.linkedin.com/showcase/socially-lu,"he future is NICHE
Operate your own social networking platform & stay in control of your timeline
Socially is a saas based social networking platform for NICHE communities. Start your own community platform with a powerful web app & 2 native iOS, Android apps in matter of days.
Revenue model from day 1
Get advanced subscription, gamification & advertising options
Fully customisable right from design to code
Verified users, creators to over 5 themes you will absolutely love.
Visit https://socially.lu for more details."
Nayyr,https://www.eu-startups.com/directory/nayyr/,Luxembourg,"Nayyr enables businesses and startups to maximize the benefits of LLMs by integrating them effortlessly
We empower non-technical users to implement AI in the backend, simplifying complex processes and enhancing operational efficiency, with many pre-developed integration
We operate on a SaaS model with setup fees and monthly subscriptions, ensuring predictability and scalability for users.",Luxembourg,"LLM, AI, SaaS model",Between €1-€100K,2023,https://nayyr.com/,Active,LU,,
STARGATE,https://www.eu-startups.com/directory/stargate/,Luxembourg,"Stargate RTK — GNSS correction service provider for the cm-level real-time positioning for autonomous driving, drone, mapping, and IoT applications.

Stargate aggregates public and private reference station networks into a single cloud platform for centimeter-level accuracy. We standardize diverse positioning data and deliver it through easy-to-integrate APIs. Our pay-as-you-go or subscription-based model supports global coverage and redundancy, crucial for robotics, drones, and autonomous vehicles. By unifying fragmented GNSS signals, we eliminate complex regional setups and open the door to scalable, cost-effective precision.",Esch-sur-Alzette,"robotics, AI, software, network",Between €1-€100K,2023,https://stargate.lu/,Active,LU,https://www.linkedin.com/company/stargate-sarl/?originalSubdomain=lu,
MyWosh,https://www.eu-startups.com/directory/mywosh/,Luxembourg,"laundry management SaaS that lets you streamline daily tasks and improve customer service, freeing up your time to focus on growth. MyWosh is the cloud platform that helps laundries and dry cleaners simplify daily work, reduce delivery times and innovate customer service through an incredibly user-friendly management software and a beautiful mobile application. MyWosh is a game-changing solution for laundry and dry cleaning businesses seeking to improve operational efficiency, enhance customer experience, and modernise their operations.",Luxembourg,"Laundry, Dry Cleaning, SaaS, Software Development",No funding announced yet,2023,https://www.mywosh.com/,,LU,,
Fiveoffices,https://www.eu-startups.com/directory/fiveoffices/,Luxembourg,"We think that the current situation for conventional office space is insufficient for entrepreneurs dealing with the problems and difficulties of today.
Millions of square metres of workplaces have been emptied by new working and living practises, yet office rental is still an expensive puzzle to solve.",Luxembourg,"Flexible office, real estate industry, online marketplace",No funding announced yet,2022,https://www.fiveoffices.com,,LU,,
My Nextdoor,https://www.eu-startups.com/directory/my-nextdoor/,Luxembourg,MyNextdoor is an online marketplace allowing users to post personal storage space and Personal belongings for rent to locals.,Luxembourg,"Share, Save, Make",No funding announced yet,2022,https://mynextdoor.eu,,LU,,"MyNextdoor is an online marketplace allowing users to post personal storage space and Personal belongings for rent to locals. Renting electronics, Machines, Tools, etc. between each other can minimize e-waste and solid waste by encouraging people to rent any kind of appliances, tools etc. Exchanging belongings between each other can promote building sustainable cities."
SKYT Holding,https://www.eu-startups.com/directory/skyt-holding/,Luxembourg,"SKYTRADERS | World's first Community owned Fintech. SKYTRADERS is headquartered in Luxembourg with operational offices in Austria, Cyprus, Poland, Hong Kong and UAE. Skytraders specialises in supplying technically complex and operationally vital air-services exclusively to Government on a best value basis.",Luxembourg,"Holding Companies, Investors, FinTech",No funding announced yet,2022,https://skytraders.lu/,Active,LU,,
MachineryScanner,https://www.eu-startups.com/directory/machineryscanner/,Luxembourg,"Trading heavy equipment is difficult. We make it easy. On the one hand, with our solutions we target machinery dealers looking to improve their online presence while increasing their sales and entering into new markets. On the other hand, MachineryScanner's one-stop solution enables users to find and purchase heavy equipment quickly, conveniently, and efficiently.",Strassen,"Advertising Services, Ranking System, Construction Equipment",No funding announced yet,2022,https://machineryscanner.com/,Active,LU,https://www.linkedin.com/company/machineryscanner.com,
Fundvis,https://www.eu-startups.com/directory/fundvis/,Luxembourg,"Fundvis is a FundTech platform where cross-company workflows for the setup and lifecycle management of the fund industry are digitalized. With Fundvis, all industry partners can cooperate, coordinate, and communicate better in a single collaborative environment. One Platform, connecting the entire Fund Industry.",Luxembourg,"RegTech, FinTech, Fund, Financial Services",No funding announced yet,2022,https://fundvis.org,Active,LU,https://www.linkedin.com/company/fundvis,
Xuppi,https://www.eu-startups.com/directory/xuppi/,Luxembourg,a social commerce platform enabling creators to monetise their content & brands to seller their merchandise,Birmingham,"Content, Platfrom, merchandise",Between €100K-€500K,2022,https://xuppi.com,,LU,,
ElleQuant,https://www.eu-startups.com/directory/ellequant-2/,Luxembourg,"Building hybrid intelligence for better informed investment decisions: Half-human, half-AI. Ellequant helps clients scale deal flow and optimize deal insights. In a competitive landscape, funds focus on better sourcing and LPs seek unique advantages. With more dry powder and fewer opportunities, scaling and improving deal quality is crucial to remain competitive. ​",Differdange,"GenAI, investment decisions, funds",Between €1-€100K,2022,https://invest.ellequant.com/,Active,LU,https://www.linkedin.com/company/ellequant/,
Schoolmait,https://www.eu-startups.com/directory/schoolmait/,Luxembourg,"We help schools in promoting student wellbeing, by offering tools for measuring wellbeing & driving evidence-based decisions.",Strassen,"EduTech, Wellbeing, SAAS",No funding announced yet,2022,www.schoolmait.com,,LU,,"Research shows a positive correlation between higher levels of wellbeing and academic achievement, indicating the importance of integrating wellbeing programs into school curricula. Consequently, measuring student wellbeing has become increasingly essential for schools. Schoolmait's wellbeing measurement platform effectively addresses this need by covering social, emotional, and physical wellbeing from multiple perspectives, including those of students, teachers, and parents. The platform empowers educators and administrators to gain insight into individual and overall wellbeing levels and trends, enabling informed decision-making for effective interventions, and promotes overall success."
Gonuggets,https://www.eu-startups.com/directory/gonuggets/,Luxembourg,"Gonuggets is revolutionizing the e-commerce industry with its cutting-edge Operating System for brands. Founded by ex-Amazon leaders, Gonuggets is the only available solution that helps digitally native brands (DNBs) break through their revenue ceilings on e-commerce marketplaces. Gonuggets makes marketplaces the easiest sales channel for brands,with no time, effort, or capital required.",Luxembourg,"E-commerce, Operating System, Brands",No funding announced yet,2022,https://www.gonuggets.co,,LU,,
SecSelS,https://www.eu-startups.com/directory/secsels/,Luxembourg,"We're doing interconnactable, retrofitable, energy-tracking Smart Home, for way less costs than usual and opensource based. SecSelS - Secure Selfhosted (open source) software. The SecSelS team has gradually expanded and also works closely with external service providers in order to guarantee its customers the best possible service.",Roeser,"Software, smart home, Digitization consulting",Between €100K-€500K,2022,https://secsels.com,,LU,,
mynextdoor,https://www.eu-startups.com/directory/mynextdoor/,Luxembourg,"Manage your space better, Self Storage, Parking, Swapping parking spot. The idea of My Next Door came from the difficulties we faced with storing our belongings. We found that there was a big demand for storage in Luxembourg and the only company that could provide it was too expensive. We started My Next Door to fill this gap and make it easier for people to find their storage solution.",Luxembourg,"Technology, Information, Internet",Between €100K-€500K,2022,https://www.mynextdoor.eu,,LU,,
Invoport,https://www.eu-startups.com/directory/invoport/,Luxembourg,"Invoport is an online platform that enables investment fund managers and administrators perform digitally the funds administrative tasks. This platform is composed of a cloud computing expert software where users can accomplish the funds operations online via a dashboard which sends the users’ instructions to the software to perform computations, generate notices and create reports. It’s been developed by industry experts who exactly know what the clients, the investors the regulatory body need.",Luxembourg,"Technology, Information, Internet",Between €100K-€500K,2022,https://invoport.lu,,LU,,
Enamply,https://www.eu-startups.com/directory/enamply-2/,Luxembourg,"Enamply is a performance and feedback management platform that helps teams reduce bias in performance improvement by creating a habit of providing specific, timely, and actionable micro-feedback.

The platform integrates with task management tools and Knowledge management processes, enabling feedback loops on the work process, highlighting best practices, and promoting learning by doing.

With Enamply's proprietary insights and evaluation methods, teams can take advantage of the cumulative impact of incremental improvements with every task, 1:1 meeting, retrospective, or planning session.",Luxembourg,"Technology, Information, Internet, SaaS",Between €100K-€500K,2022,https://www.enamply.com/,,LU,,
Orevon Partners,https://www.eu-startups.com/directory/orevon-partners/,Luxembourg,"Orevon Venture Partners is a new fund and technology investment platform dedicated to the next generation leaders in DeepTech (CyberSecurity, AI, Blockchain, etc.). They work with entrepreneurs who have a long-term vision and want to see their businesses succeed. They have developed an ecosystem that is rich in skills and complete, allowing businesses to maximize their chances of success.",Luxembourg,"Angel Investment, Artificial Intelligence, Blockchain, Cyber Security, Finance, Financial Services, FinTech, Hedge Funds, IT Management, Venture Capital",No funding announced yet,2021,https://www.orevon.com/,,LU,,
Vestis labs,https://www.eu-startups.com/directory/vestis-labs/,Luxembourg,"Vestis Labs is a 3D product development platform for fashion brand designers who want to implement an end-to-end 3D product development process. The complete 3D solution will transform your product development process. Our end-to-end 3D solution will revolutionise your product development process, reduce waste, time, and costs.",Luxembourg,"Fashion, Retail, Design, Product",Between €1-€100K,2021,https://vestislabs.com,Active,LU,https://www.linkedin.com/company/vestislabs/,
SourceAI,https://www.eu-startups.com/directory/sourceai-2/,Luxembourg,"SourceAI is an AI-powered tool that can generate code in any programming language from any human language description. It can also simplify, find errors and fix them and debug your code. For non-developers, it can also generate a readme file in which you will find a step-by-step explanation on how to test or deploy the generated application.",Luxembourg,"Software Development, AI ,Developers Tools, SaaS",No funding announced yet,2021,https://sourceai.dev,Active,LU,https://www.linkedin.com/company/sourceai/about/,
RDX,https://www.eu-startups.com/directory/rdx/,Luxembourg,"RDX is an Alternative Investments Tokenization service provider based in Luxembourg. RDX Group is striving to enhance & improve the Wellness Market by developing the most comprehensive data collection in the industry. Best describe the buisness are Blockchain, Crypto, Trading Platform.",Bertrange,"Blockchain, Crypto, Trading Platform",Between €2.5 million-5 million,2021,http://r-dx.in,Active,LU,,
