name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
IDC Ventures,https://www.eu-startups.com/investor/idc-ventures/,"IDC Ventures is a venture capital fund investing in early and growth-stage Internet and technology-enabled companies.IDC Ventures is an international VC Fund founded in 2019, leading investments in disruptive projects in FinTech, Marketplaces, and Platforms to create better services globally.",VC Firm,Denmark,https://idcventures.com,"Fintech, E-Commerce, Food, Retail",Above €3M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/idcvc/,[email protected],DK
Circles & Squares,https://www.eu-startups.com/investor/circles-squares/,"Circles & Squares is an angel investor group.Circles & Squares invests in talents and technology, offering more than just financial support. With a focus on diverse competences and experience, they help companies elevate from good to great. Emphasizing human skills and attitude.",VC Firm,Denmark,https://circles-squares.dk/,"Healthtech and Medtech, Sustainable Energy, AI-driven Solutions, Digital Transformation",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/circles-squares/,[email protected],DK
Hazelpond Capital,https://www.eu-startups.com/investor/hazelpond-capital/,"Hazelpond Capital is an investment company Established in 2019 by Frederik Hasselkjaer, HazelPond is a specialized company in the ESG/plant-based and financial technology sectors. The company offers consultancy, board & advisory roles in plant-based and fintech start-ups, as well as investments.",VC Firm,Denmark,https://www.hazelpond.com/,"Fintech, Plant Based, Food Tech, Impact Investing",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/hazelpond-capital/,[email protected],DK
Investo Capital,https://www.eu-startups.com/investor/investo-capital/,"Investo Capital invests in early-growth tech companies in Denmark with global scalability, strategic guidance, and operational expertise.We have extensive operational experience, strategic capacity and international focus and have ourselves founded companies and grown them from one to hundreds of employees – and gone through great times and through tough times as well.",VC Firm,Denmark,https://www.investo.dk/,"medtech, fintech, sustainable energy, consumer goods sectors",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/investo-capital,[email protected],DK
Rulebreaker Ventures,https://www.eu-startups.com/investor/rulebreaker-ventures/,"Private Venture Investment Company,Rulebreaker Ventures is a private investment family office that is an active investor in venture scale tech startups primarily in Denmark. Owned by Gregers Kronborg, the company participates in Vækstfondens BA matching loan programs.",VC Firm,Denmark,http://www.rulebreaker.ventures/,Enterprise Software,€100k-€1.5M,Pre-Seed / Seed,,[email protected],DK
Incuba Venture,https://www.eu-startups.com/investor/incuba-venture/,"Incuba Venture makes early-stage investments in companies based in Denmark.INCUBA is a leading company environment supporting innovation and growth in IT/tech, cleantech, and life science through knowledge-based support and networking.",VC Firm,Denmark,http://incuba.dk/en,"Pharma, Healthtech, Biotech, Diagnostics",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/incuba-science-park-a-s/,[email protected],DK
KMD Venture,https://www.eu-startups.com/investor/kmd-venture/,"KMD Venture operates in strategic growth areas and is charged with creating and managing user driven innovation.KMD is a leading Danish IT company offering tailored software solutions and consulting services to public and private sectors, driving digital transformation and innovation.",VC Firm,Denmark,https://www.kmd.dk/,"Healthtech, MedTech, Robotics, EdTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/kmd-venture/,[email protected],DK
Damgaard Company,https://www.eu-startups.com/investor/damgaard-company/,"Damgaard Company is a Danish-owned investment firm supporting disruptive software companies with VC and angel investments, fostering global market leadership through funding and coaching.Danish-owned VC firm and business angel investing in small and medium-sized software companies",VC Firm,Denmark,http://www.damgaard.com,"Enterprise Software, SaaS, Document Management",Above €3M,Series C & Beyond,https://www.linkedin.com/company/damgaard-company-a-s/,[email protected],DK
volvér.vc,https://www.eu-startups.com/investor/volver-vc/,"volvér.vc is an early-stage investor that invests in B2B technology-enabled companies.volver.vc accelerates early stage B2B tech startups with a focus on coachable founder teams and a hands-on approach, positioning as a preferred first investor in the pre-seed round.",VC Firm,Denmark,https://www.volver.vc,"Hardware, Software, Pharma, DeepTech, PropTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/volv%C3%A9r-ventures,[email protected],DK
Sealand Capital,https://www.eu-startups.com/investor/sealand-capital/,"Sealand Capital Invest In Early-Stage, High-Potential Companies across various industries. They seek scalable business models, disruptive technologies, and ambitious teams with integrity. Offering capital, network &coaching.",VC Firm,Denmark,http://sealandcapital.com,"Crowdfunding, Insurance",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/in/sorenammundsen,[email protected],DK
Black Capital Ventures,https://www.eu-startups.com/investor/black-capital-ventures/,"An early-stage venture capital investment firm.Black Capital Ventures is a high-tech startup advisory partner and green venture capital fund dedicated to investing in a better world. Specializing in GreenTech and MedTech startups, we provide strategic growth support, tools, insights, and a network.",VC Firm,Denmark,https://blackcapitalventures.com,"Information Technology, Software, Venture Capital",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/blackcapitalventures/,[email protected],DK
CAPNOVA,https://www.eu-startups.com/investor/capnova/,"A unique Danish investment and development company.Capnova CAPNOVA invests in tech startups across various sectors, turning innovative ideas into successful businesses with a portfolio of 80+ globally oriented companies.",VC Firm,Denmark,http://capnova.dk,"EdTech, Pharma, Healthtech, SaaS, MedTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/5015700,[email protected],DK
North Ventures,https://www.eu-startups.com/investor/north-ventures/,"Solutions for Startups, Scaleups, Small & Medium Enterprises (SMEs) and Investors.North Ventures is a platform that provides access to invest directly in highly qualified and sought-after Danish growth companies, along with a number of Denmark's top venture funds and business angels.",VC Firm,Denmark,https://northventures.dk,"Healthtech, Sustainable technologies, Foodtech, Clean energy",€100k-€1.5M,Pre-Seed / Seed,,[email protected],DK
DICO,https://www.eu-startups.com/investor/dico/,"Focusing on ICT ventures with a strong growth potential.Dico is a venture capital firm investing in top SaaS companies, driving growth through strategic initiatives like business development and acquisitions.",VC Firm,Denmark,http://dico.dk,"Healthtech, Medtech, Biotechnology, Sustainable technologie",Above €3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/dicoventures/,[email protected],DK
byFounders,https://www.eu-startups.com/investor/byfounders/,"byFounders is an early-stage venture fund that invests to support the next generation of globally ambitious founders.byFounders VC is a community-powered early-stage venture fund investing in globally ambitious teams connected to the Nordic and Baltic countries. With a unique Collective of founders and operators, they offer operational expertise and a global network.",VC Firm,Denmark,https://byfounders.vc/,"SaaS, Marketplace platforms, E-commerce, Consumer technology",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/byfounders/,[email protected],DK
Nordic Impact Funds,https://www.eu-startups.com/investor/nordic-impact-funds/,"Nordic Impact Funds is to improve quality of life for low income people by capitalizing enterprises with social impact.Nordic Impact Funds is a private equity firm dedicated to creating a positive impact in East Africa by leveraging Nordic governance, capital, technology, and expertise. With a focus on improving the quality of life and creating opportunities for jobs.",VC Firm,Denmark,https://www.nordicimpactfunds.com/,"cleantech, healthtech, edutech, sustainable consumer goods",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/nordicimpactfunds,[email protected],DK
LoveMondays,https://www.eu-startups.com/investor/lovemondays/,"LoveMondays - A Venture Capital Fund backed by Lehrmann Family with a ROI 20 x within the last 12 years and 800 million+ dkk equity. We are proud to be part of 18 companies with more than 5600 dedicated people across various countries.We invest in scale ups with passionate teams. Gamechanger, who challenge status quo. Our aim is to inspire great teams to scale big and help build strong winning cultures, who love Mondays.",VC Firm,Denmark,https://lovemondays.dk/,"E-Commerce, Pet Tech, FinTech, PropTech, SportsTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/lehrmann-ventures/,[email protected],DK
VÅR Ventures,https://www.eu-startups.com/investor/var-ventures/,"VÅR Ventures helps founders create sustainable impact. We invest in Edtech, Energy Innovation, and Food and Agriculture – areas in which sustainable solutions are urgent, and where the business potential is extensive. Prior to VÅR Ventures, our impact-driven team has collectively invested in several companies and celebrated multiple exits. We have deep experience working alongside entrepreneurs and are experienced entrepreneurs ourselves. We built VÅR Ventures to invest in the best and diverse founders who are building the most important, impactful, and profitable new companies to challenge our current food system, the global learning crisis as well as the world’s reliance on fossil-based energy systems.",VC Firm,Denmark,https://www.vaar.vc,"EdTech, Food, Agtech, Energy",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/v%C3%A5r-ventures/,[email protected],DK
Ugly Duckling Ventures,https://www.eu-startups.com/investor/ugly-duckling-ventures/,"We invest in Nordic ventures at the pre-seed and seed stages. We see opportunities across sectors, but look for growing categories, and disruptive business models.We look for outstanding founder teams with complementary skill sets. Being a strong founder doesn't mean you excel at everything, but it does mean that you know your strengths and weaknesses. Our structural setup allows us the flexibility to dip our toes via sensible initial investments in founders that are still finding their footing and then do significant follow-up investments when the time is right. We love to collaborate with people who can contribute positively to the success of our startups. We firmly believe this is a strength, and are proud of the results we see among our portfolio founders and the teams they build.",VC Firm,Denmark,https://www.uglyduckling.ventures/,"Consumer Healthtech, Sustainable Fashion, Digital Wellness,",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/uglyduckling-ventures/,[email protected],DK
Kickass Capital,https://www.eu-startups.com/investor/kickass-capital/,"At KickAss Capital, we invest in extraordinary entrepreneurs with unique technologies that will define the next era of innovation. We go in at proof-of-concept stage with cash – $200k-$2M – and our support and extensive network.",VC Firm,Denmark,https://kickass.capital/,"Healthtech, Artificial Intelligence (AI), Fintech, SaaS",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/kickass-capital,[email protected],DK
Science Ventures,https://www.eu-startups.com/investor/science-ventures/,"Science Ventures is developing new high tech start-ups in close collaboration with researchers, industry and investors.Science Ventures Denmark A/S develops deep tech spin outs from SDU in collaboration with researchers, investors, and industry. Their spin outs have created over 1,500 high tech jobs and attracted more than 3 billion DKK in investments.",VC Firm,Denmark,http://scienceventures.dk/en,"Semiconductor, Robotics, BioTech, MedTech",Above €3M,"Pre-Seed / Seed, Series A/B",,[email protected],DK
Sagitta Ventures,https://www.eu-startups.com/investor/sagitta-ventures/,"Sagitta Ventures´investment mandate primarily focus on healthcare, technology, and B2B companies. Sagitta has a clear investment strategy focused on scale-ups as well as more mature companies. Sagitta has the flexibility to pursue attractive transactions across all maturity stages – early stage to mature companies.",VC Firm,Denmark,https://sagitta-investments.com/,"Healthtech, B2B, Software, AI, Electric Vehicles",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/sagitta-ventures/?originalSubdomain=dk,[email protected],DK
North-East Family Office,https://www.eu-startups.com/investor/north-east-family-office/,"North-East was established in 2013 in Copenhagen by Winnie Liljeborg and Per Algot Enevoldsen, the founders of the global jewelry brand, Pandora. Today they, together with their son, Christian Algot Enevoldsen, are the owners of the family office. The purpose of North-East Family Office is to assist the families in preserving their material and ethical values for the benefit and enjoyment of future generations.",VC Firm,Denmark,https://north-east.group/,"Food, Biometrics, Healthtech, Biotech, Renewables",Above €3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/north-east-family-office/?originalSubdomain=dk,[email protected],DK
Planetary Impact Ventures,https://www.eu-startups.com/investor/planetary-impact-ventures/,"Planetary Impact Ventures creates and invests in businesses with really sustainable business strategies.Planetary Impact Ventures is an evergreen venture capital firm dedicated to supporting founders and companies that strive to regenerate the planet. They focus on investing in entrepreneurs developing regenerative solutions in soil, agriculture, food.",VC Firm,Denmark,https://www.planetary.dk/,"FoodTech, Sustainability, Fermentation Tech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/planetary-impact-ventures/,[email protected],DK
Heartland,https://www.eu-startups.com/investor/heartland/,"Heartland engages in the future and invest in areas such as fashion, retail and technology.Heartland Co-op is a holding company that values people, leadership, and authenticity. They prioritize creating enduring value through a winning yet humble mentality. With a focus on mindset and values, they represent the interests of the Holch family.",VC Firm,Denmark,https://heartland.co/,"Food Service, Fashion Tech, Retail, Energy",Above €3M,"Pre-Seed / Seed, Series A/B",,[email protected],DK
Novo Holdings,https://www.eu-startups.com/investor/novo-holdings/,"Novo Holdings is a holding company specializing in life science investor with a focus on creating long-term value.Novo Holdings is a world-leading life science, improving health, sustainability, and generating attractive returns. As the holding and investment company of the Novo Nordisk Foundation,",VC Firm,Denmark,https://www.novoholdings.dk,"Life Sciences, MedTech, Pharma, Biotech, Diagnostics",Above €3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/novo-a-s,[email protected],DK
Founderment Ventures,https://www.eu-startups.com/investor/founderment-ventures/,"Aarhus based, pre-seed focussed VC fund supporting visionary tech entrepreneurs. As first-cheque investors, we write up to €500k tickets and dedicate significant amounts of time, attention, and care during the early phases of startup life.",VC Firm,Denmark,https://www.founderment.dk,"AI, Retail, Travel Tech, Marketplaces",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/founderment/,[email protected],DK
NOON Ventures,https://www.eu-startups.com/investor/noon-ventures/,"NOON Ventures is a DeepTech Venture Fund. We invest in transformative technologies with the potential to impact environmental or climate challenges. Our investment philosophy is rooted in an active approach and close collaboration with founders and management teams. Our commitment extends beyond funding - we contribute our expertise, industry connections, and operational support to foster enduring ventures that make a lasting imprint. Our primary geographic scope is Northern Europe, and we typically make initial investments ranging from EUR 2-5 million.",VC Firm,Denmark,https://www.noon-ventures.com/,"DeepTech, ClimateTech, Impact Investing, Sustainability",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/noon-ventures,[email protected],DK
KRING Innovation,https://www.eu-startups.com/investor/kring-innovation/,KRING is a venture studio & innovation consultancy.KRING is co-creating sustainable ventures with entrepreneurs and corporates to address global challenges and achieve positive impact through innovation.,VC Firm,Denmark,http://kring.com,"HealthTech, Energy, Renewables, MedTech, Precision Medicine",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/534247,[email protected],DK
Unconventional Ventures,https://www.eu-startups.com/investor/unconventional-ventures/,"Unconventional Ventures is a Nordic early-stage investment firm.Unconventional Ventures invests in startups in the pre-seed and seed stage led by diverse founders identifying as women, people of color, immigrants and/or LGBTQ+, building scalable impact tech companies in the Nordics and beyond.",VC Firm,Denmark,https://www.unconventional.vc/,"Healthtech, Fintech, Deeptech, Sustainability",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/unconventional-vc/,[email protected],DK
Morph Capital,https://www.eu-startups.com/investor/morph-capital/,"Morph Capital invests in founders and co-creates companies to help them reach the next level faster. As a team of experienced entrepreneurs, who have all started and sold companies, experience and expertise is used to help other founders. The team behind Morph define themselves as entrepreneurs rather than investors; investing early and using their understanding to help founders with all the difficulties they face. The aim is never to take control, but to offer support, partnership, risk consideration and space for debate in order to help companies reach the next level.",VC Firm,Denmark,https://morph.vc,"Fintech, AI, Blockchain, SaaS",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/33272500/admin/,[email protected],DK
The Aventures,https://www.eu-startups.com/investor/the-aventures/,The Aventures: Venture capital firm investing in exponential innovation across diverse markets and themes.We are a DeepTech fund investing in pre-seed/seed stage companies. We possess heavy tech oriented backgrounds and provide knowledge capital.,VC Firm,Denmark,https://the.aventures.fund,"Fintech, Blockchain, Crypto, Cybersecurity, Retail",€100k-€1.5M,Pre-Seed / Seed,https://linkedin.com/company/the-aventures,[email protected],DK
Lundbeckfonden Ventures,https://www.eu-startups.com/investor/lundbeckfonden-ventures/,Lundbeckfonden Ventures is an evergreen life science venture fund established in the autumn of 2009 and wholly owned by Lundbeck Foundation.The Lundbeck Foundation is a commercial foundation with a strong purpose:We create powerful ripple effects that bring discoveries to lives through investing actively in business and science at the frontiers of their fields.,VC Firm,Denmark,https://lundbeckfonden.com,"Life Sciences, Biotech, MedTech, Diagnostics",Above €3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",http://www.linkedin.com/company/1770253,[email protected],DK
BlackWood Ventures,https://www.eu-startups.com/investor/blackwood-ventures/,"BlackWood Ventures is an investment firm that focuses on supporting tech startup founders.BlackWood Ventures is a pan-European early-stage venture capital firm that supports visionary entrepreneurs in fintech, web 3.0, and cleantech sectors.BlackWood is a network and technology-driven Venture Capital firm headquartered in Copenhagen. Founded in 2021",VC Firm,Denmark,https://www.blackwood.vc,"FinTech, Web 3, CleanTech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/blackwoodventures,[email protected],DK
PSV,https://www.eu-startups.com/investor/psv-2/,"PSV cares about a conscious future. As a venture house, our mission is to clear the path for founders who build companies that matter. Our hybrid setup, comprising PSV Foundry, PSV Lab, and two unique venture funds, PSV Tech and PSV DeepTech, sets us free from adhering to a singular method. Rather we rethink existing ways and models to maximise our impact beyond any individual firm or investment.",VC Firm,Denmark,https://psv.xyz,"Deeptech, Artificial intelligence, Biotech, Clean energy",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/11379162,[email protected],DK
Dreamcraft Ventures,https://www.eu-startups.com/investor/dreamcraft-ventures/,Dreamcraft invests in European tech-driven companies from pre-seed to series A. We believe success is created by a team mixed with dreamers and crafters - and we are venture engineers who help the two. The right founders love our engagements that go deeper than just advice.Hands-on venture engineers for talented founders.,VC Firm,Denmark,https://dreamcraft.vc/,"Healthtech, E-Sports, E-commerce, Gaming, AI",€1.5M-€3M,Pre-Seed / Seed,https://www.linkedin.com/company/dreamcraftventures/,[email protected],DK
Seed Capital,https://www.eu-startups.com/investor/seed-capital/,"It’s the first and most fundamental question we ask when considering any investment - and it’s why 70% of our investments convert to Series A. We gravitate towards solutions that ride the wave of underlying macro trends with transparency and/or user generated content. Our portfolio contains both consumer and Deep tech but the majority of our investments are within Fintech and SaaS. Actually, we’re the largest Fintech investor in Denmark.",VC Firm,Denmark,http://www.seedcapital.dk,"DeepTech, Fintech, Saas",€1.5M-€3M,Pre-Seed / Seed,http://www.linkedin.com/company/seed-capital-denmark,[email protected],DK
Founders,https://www.eu-startups.com/investor/founders/,"We are a first-money and incubation investor. We partner with people with whom we share a vision, and work together to figure out how to get there. We will never say “come back when you have traction”. If we like the WHY and the WHO, the WHAT and HOW is what we figure out together. We don’t see our investments as “bets”, but as companies we want to exist in the world. Entrepreneurs put all their eggs into one basket and don’t have a portfolio to optimise. We like to think like that: we focus on only a few opportunities at the time and do everything we can to make them work. We think, take risk, and are incentivised much more like Founders than funders.",VC Firm,Denmark,http://founders.as/,"Fintech, Legaltech, HR tech, Health and Wellness",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/3199273,[email protected],DK
Climentum Capital,https://www.eu-startups.com/investor/climentum-capital/,"Climentum Capital is an investment fund based in Copenhagen, Berlin, and Stockholm. We invest in European climate tech companies solving critical sustainability problems for industries. Our fund provides catalytic capital to companies in late Seed and Series A rounds, enabling them to pass key inflection points and scale rapidly. As one of the first funds with a dual carry structure (with both financial and impact targets), Climentum Capital is dedicated to only investing in companies that can deliver true greenhouse gas emissions reductions.",VC Firm,Denmark,https://www.climentum.com,"Climate tech, Clean energy, Sustainable agriculture, Circular economy",Above €3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/climentum/,[email protected],DK
People Ventures,https://www.eu-startups.com/investor/people-ventures/,"We help entrepreneurs succeed. It has been our mission from day one. We challenge existing paradigms of how things are done in the normal VC world. We invest ourselves and money in early-stage companies.We partner with the most talented entrepreneurs – bringing to the table industry know-how, relentless dedication and money to move startups fast forward.",VC Firm,Denmark,https://www.people.ventures,"Digital Health, Enterprise Software",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/73869536/,[email protected],DK
Kost Capital,https://www.eu-startups.com/investor/kost-capital/,Kost Capital is a venture capital fund backing the visionary entrepreneurs creating ingredients and enablers.Our own extensive experience founding and growing companies is bolstered by a network of strategic partners with deep expertise in the bioeconomy. Together we can bring your idea to life.,VC Firm,Denmark,https://www.kostgroup.co/capital,"FoodTech, Sustainability, Fermentation Tech",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/kost-capital/,[email protected],DK
Nordic Alpha Partners,https://www.eu-startups.com/investor/nordic-alpha-partners/,"Nordic Alpha Partners is a growth fund that invests in hard-tech companies with potential to drive global market transformations.Nordic Alpha Partners is specialized in managing the complexity of scaling industrial GreenTech, enabling visionary founders to successfully grow from local players to global market leaders.",VC Firm,Denmark,http://www.napartners.dk,"Healthtech, Medtech, Biotech, Digital health",Above €3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/18146463/,[email protected],DK
Nordic Eye Venture Capital,https://www.eu-startups.com/investor/nordic-eye-venture-capital/,"Nordic Eye is a Venture & Growth Capital firm based in Copenhagen with representation in UK, US & Switzerland. We invest in carefully selected and mainly Nordic early-growth companies in the tech and lifestyle domain. We look for ambitious companies with high scalability and innovative business models. In addition to funding, our portfolio companies benefit from access to our talent, global network, and business relationships that can help validate their solutions and accelerate success in the market. Nordic Eye is a driving force behind innovation in the Nordics and California's technology and lifestyle space. Our global team aligns our interests with those of our investors and partners for lasting impact.",VC Firm,Denmark,http://nordiceye.com/,"Blockchain, Cyber Security, Financial Services, FinTech, Information Technology, Lifestyle, Retail, Robotics",Above €3M,Series A/B,https://www.linkedin.com/company/17958733/,[email protected],DK
